旁白: 在游戏机中心里，你看到姬子和符华正在一起玩着某款游戏。
舰长: 符华，姬子，你们都在这里啊。
符华: 抱歉舰长，我正在和姬子少校进行赌上岁月历练的对决。
舰长: 岁月的历练？那是什么？
符华: 请等一下，我现在很忙，暂时无法回复舰长的提问。
姬子: 舰长，我正在和符华进行赌上女性荣誉的对决。请不要打扰我们。
舰长: 女性的荣誉又是什么啊…
舰长: 不过屏幕上的人物很眼熟啊…
舰长: 这不是现在最火爆的恋爱模拟游戏《崩坏相簿3》嘛！
舰长: 为什么游戏中心还有这种游戏？
舰长: 倒不如说，为什么你们两个在用恋爱模拟游戏对决啊？
姬子: 符华，选择我作为你的对手是你最大的失误。
姬子: 在过去的十年里，我完美通关了市面上所有的恋爱模拟游戏。
符华: 不比试一下怎么知道呢？
符华: 在战场上，所有结局都是难以预料的，姬子少校，这点你应该比我更清楚才是。
舰长: 感觉这两个人把《崩坏相簿3》玩成了恋爱争夺战啊。
舰长: 怎么不来争夺我呢，你们正直帅气迷人可爱的舰长就站在你们面前啊。
符华: 舰长请保持安静。
姬子: 舰长请保持安静。
舰长: 在这种地方倒是保持了微妙的一致…舰长我很伤心啊。
舰长: 帮助符华
舰长: 符华，需要帮忙吗？这个游戏我玩过，有点印象...
符华: 舰长请不要打扰我和少校的对决。
符华: 还是说，舰长认为我的实力不如少校？
舰长: 我不是，我没有，嘤嘤嘤！
符华: 那舰长在一边看着就好。
符华: 选项出现了，应该是这个。
符华: 呵，简单。
舰长: （感觉还是不要打扰她比较好。）
符华: 这是最后一个分支选项了。
姬子: 我们的对决终于要迎来结局了吗。
姬子: …怎么回事？我的雷电牙二，为什么，为什么最后拒绝了我？
符华: 看来这场对决是我胜利了。
姬子: 不，不可能...
舰长: 姬子你没事吧？
姬子: 这十年来，我通关了各大恋爱游戏，每个选项我都能精准把握。
姬子: 明明是我先开始的...
姬子: 可是为什么，为什么会变成这样呢！
姬子: 为什么你这么熟练啊，符华！
舰长: 别说了，再说我要哭了！
符华: 嗯？这没什么。人生如戏，不过是5000年来的经验而已。
舰长: 你好像透露了什么不得了的信息。
符华: 感谢少校能和我进行这场对决，很久没有感受到如此畅快淋漓的战斗了。
舰长: 这是游戏，游戏！不是战斗！
姬子: 哎，我还是回去值班吧。
符华: 真是一场精彩的战斗，姬子少校，我会永远记得你这个好对手的。
符华: 那么，我也该去准备下一场训练了。
舰长: 唉，为什么她们只想和游戏里的人恋爱呢？明明身边，还有我这么好一个人…
