旁白: 这一天，在商店街上，你遇到了一个戴着面具的神秘少女。
舰长: 商店街果然还是很热闹啊。
舰长: 怎么有个人大热天的穿这么多，头上竟然还戴着面具！
舰长: 她怎么看向我这边了！
舰长: …怎么办？
舰长: 和她搭话
舰长: 这一头能反出光来的白发，以我多年的舰长经验来看——此人一定不简单！
舰长: 不行，我要去问问她到底是谁。
舰长: 你好。
卡莲: 这位可爱的朋友，找我有什么事吗？
舰长: 呃。
舰长: 我们是不是在哪里见过？
卡莲: 现在已经不流行这样的搭讪套路了。
舰长: ……
卡莲: 可怜的人啊，你被我的魅力迷得说不出话了吗？
卡莲: 盯着我看的代价...就用这点钱来交换吧。
舰长: 我的钱包怎么不见了！
舰长: 天呐！光天化日有强盗抢我钱包啊！
卡莲: 别把我和无耻的强盗相提并论。我是正义的怪盗，只偷取恶人的钱财。
舰长: 恶人…说的是我吗？
卡莲: 在大街上盯着少女的脸看，你一定是人们所说的偷窥狂了。
舰长: （…你这一身的奇装异服，是人都会多看两眼吧。）
舰长: 不，我不是坏人！
舰长: 我我我...我其实我是你的粉丝！！
卡莲: ……？
舰长: 当一名行侠仗义的怪盗一直是我的梦想！
卡莲: 哦？看来是一场误会。
舰长: 请务必让我加入你的队伍，和你一起行侠仗义！
卡莲: 当然可以，欢迎你的加入。我叫卡莲，你呢？
舰长: 这和《卡莲幻想》女主角一样的名字是怎么回事，
舰长: 难道有刚好重名这么巧的事吗？
卡莲: 什么？
舰长: 啊啊没事，我是{NICKNAME}，你叫我“舰长”就好了。
卡莲: 抱歉，刚才打伤了你。钱包还给你，我送你去诊所吧。我知道一家很靠谱的哦。
舰长: 谢谢你，卡莲。
舰长: 呼，竟然瞒过去了嘛…差一点就被抢走了全部的财产！
舰长: 沧海市好危险啊！妈妈我要回家！
