布洛妮娅: 姬子老师，你怎么在这里？
姬子: 布洛妮娅？符华？舰长也在？我肯定是喝多了…
舰长: 别以这种理由逃避现实啊，姬子少校！
舰长: 长话短说，我们应该都是被强行拖进这个RPG游戏世界了。
姬子: 是…电视上的那封挑战书？好像想起来了。
舰长: 没错，布洛妮娅接下挑战以后，我们似乎就都被拖进这里了。
舰长: 根据收集到的情报来看，是要打倒这里的红王后才能离开了。
姬子: 红王后？舰长你是说这个卡片吗？
姬子: “回过神来，你已身处于舞台之上。不要迷惘，忠诚的守护者。你的名字是红心骑士，拼尽全力去停下勇者的脚步吧。”
姬子: 让我猜猜，舰长你就是那位勇者咯？
旁白君: 在强大的红心骑士面前，勇者丝毫不敢懈怠。
旁白君: 而骑士为了守护红王后，也准备和勇者决一死战。
旁白君: ……
旁白君: 喂，你们怎么不打啊？剧本上这里有BOSS战的！
姬子: 嗯？不是只要打倒红王后就结束了吗？
姬子: 而且，圣芙蕾雅的大家本来就是我的家人，为什么要战斗呢？
符华: 等等，姬子老师。刚好有这个机会，我想向您讨教几招。不知……
舰长: 符华你怎么还来劲了…不能回去练习么？
符华: 天时地利，不可错过。还请舰长谅解。
旁白君: 贤者蓄势待发，准备向红心骑士发起挑战。
舰长: 我求求你不要再添乱了……
