芽衣: 呃啊——！
旁白: 当暴风雪散尽，地面上再也没有一个能站起来的人。
舰长: …好强大的力量！！！
旁白: 在勉强压下震惊和眩晕之后，我才勉强理解了自己已经惨败的事实。
旁白: 或许是之前所经历的战斗太过轻松，那些敌人比起对手更像是戏谑的朋友。
旁白: 白魔女和他们是不同的。
旁白: 如同大部分冒险故事中的魔王那样，她是令主角们九死一生的恶魔，而非供人戏耍取笑的小丑。
舰长: 布洛妮娅…布洛妮娅你没事吧！
旁白: 布洛妮娅的左臂在刚才被冰枪刺穿了，现在正倒在远处的雪地里。
布洛妮娅: 呃…舰长，你快逃…布洛妮娅会保护你的…
白魔女: 逃？你们想逃到哪里去呢？
旁白: 数根冰矛自虚空之中刺出，眼看就要刺穿布洛妮娅——
旁白: 镰影闪过，被阻挡的冰矛深深地刺入了旁边的积雪之中。
丽塔: 果然最后还是得女王亲自…咕啊——！
旁白: 不知何时，白魔女突然出现在了你们面前。她的脸上挂着恶毒的微笑，掐住了红王后的脖子。
旁白: 红王后手中的镰刀也落入了积雪之中。
丽塔: 痛痛痛痛痛…可恶！
白魔女: 真是畅快淋漓的结局啊，你说是吧，红王后？
白魔女: 自由虽然令人充满期待，但复仇的乐趣更值得享受。
白魔女: 红王后，你不会真的以为，集合了这样一支杂鱼队伍，就能够打败我吧？
白魔女: 你们不过是一群幼稚园的孩子罢了。以名为勇者的幻觉来武装自己，讲着荒诞的童话故事，玩着过家家的游戏。
布洛妮娅: 幼稚园…童话…？
白魔女: 好了，余兴节目就到此为止吧。就算是童话故事，也该迎来结局了。
布洛妮娅: 童话故事？
白魔女: 那么，就从你开始吧，小姑娘。毕竟，你是这次第一个敢于挑战我的人。我赐予你优先死去的权利。
旁白: 白魔女抬起手，背后的长枪对准了布洛妮娅。
旁白: 挥手间，冰枪刺下。
旁白: ————
布洛妮娅: …舰…长？
舰长: 也…是时候…让我真的…保护你们一次了…对吧？
旁白: 我紧紧地握住了那穿过我胸膛的冰枪，枪尖停留在距离布洛妮娅只一寸之遥的地方。
舰长: 挡…挡下了！白魔女的攻击…也不过如此嘛。
旁白: 鲜血才刚刚喷涌而出，就被冰枪散发的寒气所冻结，一路沿着枪身结出妖艳的冰花。
舰长: 一直以来…我都在…你们的身后，被你们保护着…
舰长: 我…其实很羡慕你们战斗的样子。我会为你们…的胜利而喜悦，也会为你们身处…险境而担忧。
舰长: 也想过…自己亲自上战场，和你们并肩作战的样子。
舰长: 这…是我第一次…和你们一起战斗呢。结果…却是这样的惨败。
舰长: 抱歉…布洛妮…娅…
布洛妮娅: 舰长…你不惜一切保护布洛妮娅的样子，真的很英勇。
白魔女: 噢~我的心，我那冻结的心，都快被你们融化了。
白魔女: 我决定放过你们，洗心革面，做一个好人，怎么样？
白魔女: 抱歉，说笑而已。就算换个顺序，你们还是会死在这里。
布洛妮娅: 但是换一个时间，那就不一定了。
白魔女: ？？？
布洛妮娅: 想起来了…布洛妮娅全都想起来了，为什么这个故事会那么熟悉。
旁白: 有生以来第一次，白魔女感到了恐惧。
旁白: 布洛妮娅撑起受伤的身体，奋力向着雪地中丽塔的镰刀跃去。
旁白: 白魔女扬手，又一根冰枪破空而出。
舰长: 别做梦了！
旁白: 伤口和手早已麻木到感觉不到疼痛了。或许只是下意识的本能，我拔出了胸口的冰柱，挡住了飞射出去的另一根冰枪。
白魔女: 你这家——伙————
旁白: 她的声音在无限减缓的时间中听起来如此的诡异。
旁白: 她试图再挥出一根冰枪，却只能看着自己的手像是慢动作一样，一帧一帧，最后停止了动作。
旁白: 镰刀「命运钟刻」旁，布洛妮娅握紧那古铜色的指针，将它缓缓倒转。
旁白: 风雪迅速朝着天空飞去，飞扑的魔女倒跃回原位。
旁白: 布洛妮娅继续倒转指针。
旁白: 我手中的冰柱逆着轨迹飞回了白魔女的身边，绽放的血花回到了体内，而白魔女则倒着步子缓缓后退。
旁白: 布洛妮娅转动指针的手越来越快，周围的景物飞逝如流光，布洛妮娅逆流而上——
旁白: 忽然，虚空之中，传来了一位陌生少女的声音。
？？？: 我好想你啊，布洛妮娅姐姐…
