旁白: (三小时前，逆熵基地，地点：未知）
爱因斯坦: Eins，刚才的数据全都备份下来了么？
Eins: 是的，博士。
爱因斯坦: 再播放一遍。
Eins: 「项目编号：E-PC-084」
Eins: 「危险等级：正体不明」
Eins: 「项目状态：监管中」
Eins: 「项目记录（一）：E-PC-084最早被发现于某座无人岛上，其外形近似一座控制塔。」
Eins: 「经勘测，E-PC-084依靠放射性碳素无法断代，疑为前文明遗迹。」
Eins: 「项目记录（二）：在发现E-PC-084后的三个月内，有多批研究人员在岛上驻扎试图进入其内部，但无一例外都失败了」
Eins: 「——这座形似塔的建筑没有入口，且外壁以现有的一切手段都无法破坏。」
Eins: 「项目记录（三）：E-PC-084是出于什么目的被建造出来的尚无从得知，但在短短三个月内已有6名研究人员在岛上神秘失踪。」
Eins: 「“是‘消失’而非‘失踪’”，一位极东出生的驻岛人员如此主张。」
Eins: 「他是第5起失踪事件的目击者。根据他的供述，失踪者就在他做笔录低头再抬头的短短几秒内凭空消失了。」
Eins: 「“简直就像我故乡的怪谈‘神隐’一样。”，这位极东出生的驻岛人员如此形容。」
爱因斯坦: 神隐……么？作为科学家竟然说出这种无稽之谈，看来他的确亲眼目睹了什么，并且遭受了不小的冲击。
Eins: 「项目记录（四）：驻岛研究队开始对整座岛屿展开搜索，但是这些失踪者就像人间蒸发了一般了无痕迹。」
Eins: 「而在此期间，新的牺牲者出现了。」
Eins: 「在第7名失踪者出现后，研究队决定从岛上撤离，并暂时封锁周边海域。」
Eins: 「E-PC-084以“正体不明”的分级被纳入逆熵监管名单。」
Eins: 再往下大多都是关于E-PC-084的零碎监管记录，博士，还要继续么？
爱因斯坦: “大多都是”就意味着“并不全是”，拣取有价值的信息，Eins。
Eins: 正在处理，博士。
Eins: 「项目记录（二十七）：一名失踪的研究人员被找到了。发现他的时候，他还穿着勘测现场的工装，仿佛前一秒还在岛屿上一样。」
Eins: 「不可思议的是，他出现的地点几乎是在地球的另一端。并且，此时距离研究队撤出E-PC-084所在岛屿已经过去3年。」
爱因斯坦: 唔，这简直就像……
Eins: 「项目记录（五十八）：2019年8月15日更新，E-PC-084所在岛屿周边监测到前所未有的重力场异常，目前尚未有人前往调查。」
爱因斯坦: 啊，就是这个。做得好，Eins。
爱因斯坦: 接下来我需要拟一封邮件，收件人为特斯拉博士。至于内容……我想想……
爱因斯坦: 「针对监管对象E-PC-084周边出现的持续重力场异常现象，爱因斯坦博士决定亲自前往其所在无人岛进行调查。」
爱因斯坦: 「调查期间，基地内一切事务交由第二责任人特斯拉博士处理，包括正在进行中的129个机械工程项目以及45个基地修缮项目。」
爱因斯坦: 「PS.致特斯拉博士：希望下次见面的时候，基地的制冷设施已经恢复运行。祝，工作愉快。」
爱因斯坦: 「避暑中的爱因斯坦博士 留」
Eins: 数据分析显示，在打开这封邮件后的74秒左右，特斯拉博士会来毁坏您私人物品的概率为99.99%。
Eins: 即使如此，您还要继续执行发送操作么？
爱因斯坦: 观察特斯拉博士的反应也是乐……实验的一部分。Eins，发送邮件并备份接下来两周的实验室监控录像。
Eins: 恐怕不行，博士。就在两分钟前，我收到了一封内容与您刚刚口述部分相似度高达82.6%的邮件，发件人为特斯拉博士。
Eins: 而且早在两个小时前特斯拉博士已经驾驶运输舰离开基地。
Eins: 据导航系统的数据显示，她的目的地正是监管对象E-PC-084所在岛屿。
爱因斯坦: 嚯——先斩后奏的节奏么，看来这次特斯拉博士也终于学聪明了。
爱因斯坦: 按照时间推算，现在这个时候她差不多应该到达E-PC-084周边的空域了。
爱因斯坦: 如果我的猜想没有错的话……准备一下Eins，我们也该出发了。
Eins: 非常抱歉博士，我不能允许你这么做。
Eins: 非紧急状况下，你与特斯拉博士至少要有一人坐镇基地中枢，这是组织的规……博士，特斯拉博士请求通讯。
爱因斯坦: 接进来，Eins。说走就走的旅行感觉如何，特斯拉博士？
特斯拉: 呕——
Eins: 听起来并不怎么好，博士。
特斯拉: 鸡、鸡窝头…听得见吗鸡窝头？
爱因斯坦: 底噪很大，但是还盖不过你的嗓门，特斯拉博士。
特斯拉: 现在…不是耍嘴皮子的时候，鸡窝头，我…需…你…帮助。
爱因斯坦: 如果你是想说飞船在接近E-PC-084周边空域时忽然失去控制，以至于现在正处于空中解体加自由落体过程中这件事的话……
爱因斯坦: 我的建议只有一个。
特斯拉: 什、为什么你会知道？
爱因斯坦: 看上去你似乎并不是很急的样子？
特斯拉: 有…话…快说！
爱因斯坦: 跳吧。
特斯拉: 你…说…什…么？
爱因斯坦: 我说，没救了，跳伞吧，我会做好回收工作的。
特斯拉: 鸡…窝…头…啊…啊…啊…啊…啊…啊——
Eins: 通讯中断了，博士。
爱因斯坦: 我知道。那么，Eins。既然紧急状况已经发生了，现在，我们是不是可以出发了？
