Eins: 确认，营地半径1公里内所有敌对反应已经沉默。
爱因斯坦: ……
舰长: 如何，博士？你的发明家朋友找到了么？
爱因斯坦: 承你的吉言，舰长。这里果然一个人都没有。
舰长: 但你看上去并不如何沮丧。
爱因斯坦: 只是因为预期落空就放弃治疗是做不了科学家的，舰长。失败与总结才是研究者的日常。
爱因斯坦: 虽然特斯拉博士不在这里，但我们也并非一无所获。
爱因斯坦: 根据Eins的扫描结果，这个帐篷下方的地面似乎存在着其他的空间。
舰长: 地下室么？难道说把刚刚那群怪物吸引过来的东西就藏在这下面？
爱因斯坦: 不止如此，在这下面应该还有特斯拉博士留下的讯息。
舰长: 嚯？为什么会这么认为？
爱因斯坦: 因为在帐篷里面我找到了这个——特斯拉博士「科学禁术目录」第233号是试作品。
舰长: ……博士，我轻小说读得少你不要骗我，你手上这个分明只是个放大镜而已。
爱因斯坦: 舰长有所不知，在「科学禁术目录」系列里越是看上去普通的东西就越是大有文章。
爱因斯坦: 试作品233号虽然看起来只是个随处可见的放大镜，但是却能够通过它的镜片看见所在区域的完整地貌。
爱因斯坦: 如果只是这样的话，这个功能显然并不出奇。
舰长: 不，我觉得已经足够离奇了。
爱因斯坦: 试作品233号最神奇的地方在于，你都可以通过它自动寻找并对有效区域内指定物品的位置进行标记。
舰长: 我已经放弃思考甚至不想询问这玩意儿的工作原理了。
舰长: 那么，这个试作品233号和“地下室里有特斯拉博士的遗留讯息”这个结论之间又有什么必然联系么？
爱因斯坦: 当然，在我找到试作品233号的时候它正处于启动状态。而此时，镜片上已经记录了一个被标记的坐标。
舰长: 所以？
爱因斯坦: 掀开帐篷的地面垫你会看到一个电子暗门。即使是Eins目前也没能解析出这道门的结构以及打开方式。
舰长: 原来如此，所以你认为试作品233号中标记的位置正是你的发明家朋友留给你的开门提示？
爱因斯坦: 没错，难道你不这么想么？
舰长: 如果在去往这个坐标的路上不需要单挑精英怪或是突围怪物群的话，我很乐意这么想。
舰长: 对了，这里我姑且问一句：这个试作品233号又是个什么名号？
爱因斯坦: 你猜？
舰长: 「挂个机小姐」？
爱因斯坦: 不，它叫「找点啥老弟」。
舰长: ………
旁白: 轰——
旁白: 轰——
旁白: 轰——
八重樱: 大地，在颤抖……发、发生了什么？！
