芽衣: 七重樱，追上你了！
旁白: 砰——
旁白: 七重樱被芽衣扑倒在地上。
舰长: 这追上的速度好像也过快了一点…
七重樱: 气死了！为什么我跑得这么慢！
旁白: 六道光芒从樱花的誓约中溢出，重新化成了六个樱，她们把七重樱围在了中间。
舰长: 话说七重樱说的爷爷是谁？还有金发异乡人又是谁？
舰长: 我来晚了…有哪位好心人能科普下设定了吗？
八重樱: 你们说的金发异乡人，到底是谁啊…？
舰长: 我不知道很正常，为什么你也不知道…
舰长: 而且看起来，其他人都知道金发异乡人是谁…
一重樱: 看来必须要和舰长和八重樱姐姐说出真相了…
一重樱: 曾经的八重古村是个平静祥和的村子，并被御神木大人守护着。
一重樱: 御神木大人只开七朵花，而这七朵花永开不败。
一重樱: 直到一个金发异乡人出现。
一重樱: 他摘下了御神木大人的一朵花，使御神木大人失去了保护村落的能力。
一重樱: 接着金发异乡人来到了八重古村，使村民都患上了一种疾病。
一重樱: 而侍奉御神木大人的巫女误以为是自己触怒了御神木大人，才使八重古村遭遇此等灾祸。
一重樱: 她终日祈祷，最后昏迷在神社中…
一重樱: 御神木大人将她送往自己身边，并洗去了她所有的记忆。
一重樱: 御神木大人将剩余的六朵花化成了巫女的样子，陪伴在她的身边，让她不至于感到寂寞。
八重樱: 原来八重古村早已经…
三重樱: 没错，八重古村早已经是一个荒村了…
舰长: 难道八重樱就没有怀疑过这一切吗？有六个和自己一模一样的人…
三重樱: 对于八重樱姐姐来说，我们就像是空气、树木、岩石这样自然的存在，所以她并不会怀疑我们。
八重樱: 没想到到头来作为巫女，在下没有守护得了任何东西。
八重樱: 和你们不一样，在下只是一介凡人。
三重樱: 但是…我们之所以变成我们现在这个样子，正是八重樱姐姐你对自己的期许。
三重樱: 能守护住你，是御神木大人最大的愿望，也是我们的愿望。
三重樱: 但是因为金发异乡人造成的破坏，我们对异乡人特别警惕。
三重樱: 每当有异乡人出现并和八重樱姐姐产生交集，为了以防万一，我们都会抹去姐姐的记忆。
八重樱: 抹去在下的记忆？
三重樱: 对，我们害怕你会再想起过去那些事…上次，不，每一次我们都是这么做的…
三重樱: 但是这次却不一样…虽然怪物的出现出乎了我们的意料之外，我们原本希望通过御神木大人来消灭这些怪物。
三重樱: 然而舰长却帮我们击退了怪物…怪不得八重樱姐姐会这么信任你。
舰长: 我击退了怪物，也是因为有你们的帮助。
三重樱: 我们虽然帮了舰长，但也是舰长也帮了我们。
三重樱: 舰长帮我产生了作诗的灵感，帮二重樱炸了飞鱼丸，帮六重樱实现了开演唱会的心愿。
旁白: 三重樱朝我深深地鞠了一躬。
五重樱: 而且…如果我的推断没错，舰长和我们，也非常相像呢。
舰长: 相像？我怎么会有那么多分身…
五重樱: 抱歉，是我一时失言。请忘了我说的话。
舰长: 所以接下来的问题是，七重樱应该怎么办…
七重樱: 呜呜呜…呜呜呜…爷爷总是说当年太早把我从樱花树上摘下来，虽然通过实验他成功把我化成了人形，…
七重樱: 但我还是一直体弱多病长不高…所以他一直不允许我出门。
五重樱: 他居然还有脸说这个…
七重樱: 不过他很疼我，还给了我樱花的誓约，说只要我想要的东西，都能收到这里面去。
七重樱: 后来，我又知道了你们的存在。
七重樱: 所以我想，既然爷爷觉得我很弱小，不能面对外面的世界…
七重樱: 只要我能打败你们，就能证明给他看，我很强大！
五重樱: 但是你想用怪物来攻击我们也太…
七重樱: 我偷偷背着爷爷用了樱花的誓约收集了很多怪物，本来是为了趁着他应付怪物的时候能跑出门。
七重樱: 是我太幼稚了…
八重樱: 不，我觉得你很勇敢，你比我勇敢。
八重樱: 虽然我不赞成你用打败我们来证明你自己强大的方式…但是我欣赏你的选择，即使不知道结局怎么样，你都想先走出去看一看。
八重樱: 我也想走出去看一看…
舰长: 跟我一起走吧，八重樱，我们一起去…去哪来着，爱因斯坦博士？
爱因斯坦: 去遗迹塔，舰长。
爱因斯坦: 但是根据我刚刚的观察情况，我们很有可能没法直接过去，要从前方的沙漠绕行。
舰长: 不管去哪里，至少有我们这些同伴在身边。你不会觉得无聊的，兔女郎小姐。
舰长: 不过一路过来，我们也遇到了不少危险…可能也会让御神木大人担心…
舰长: 所以这还是要遵从你的愿望…
舰长: 你是否愿意呢？
八重樱: 我…愿意。
舰长: 一重樱，二重樱，三重樱，四重樱，五重樱，六重樱…
舰长: 你们是否愿意放手，让你们的八重樱姐姐和我同行呢？
六重樱: 如果是舰长的话，或许也未尝不可。
六重樱: 但是八重樱姐姐离开以后，我总会觉得有些寂寞呢…
六重樱: 好想和八重樱姐姐一起走。
六重樱: 但是御神木大人在这里，我们也不能离开…
七重樱: 你们走吧，我留下照看这里吧。
四重樱: 交给你？你不还是称呼金发异乡人为“爷爷”么？怎么想你和他都可能是一伙的吧…
五重樱: 有一个办法。
五重樱: 既然七重樱也在这里，我们只要把力量一起归还给御神木大人，恢复力量的御神木大人就能继续守护这个区域了。
五重樱: 虽然这样我们就会失去人形…
旁白: 所有人恍然大悟地对望了一眼。
五重樱: 但是七重樱留下后，也只能老老实实地呆在御神木大人的身边。
七重樱: 总感觉有些无聊…
七重樱: 不过，我离开这里这么久了，也算是补偿一下过去所没体验过的东西吧。
六重樱: 但是如果我们失去了人形，那我们还怎么和八重樱姐姐一起离开呢？
二重樱: 我们可以附在八重樱姐姐身上和她一起上路，想出来透透气的话，就借用下她的身体吧。
二重樱: 有一句话是怎么说的来着…
二重樱: 身体和灵魂总有一个要在路上？
二重樱: 不过老实说，我只想趁这个机会多睡一会儿。
二重樱: 做人也挺累的，还是变成花轻松一些。
一重樱: 那既然这样决定了的话…
旁白: 七个人围着八重樱围成了一个圈，把手放在八重樱身上。
旁白: “八重嘤能量，嘤嘤嘤嘤。嘤嘤怪，全身变。”
舰长: 随着奇怪的咒语落下，七个人化成了樱花花瓣慢慢消散。而八重樱的身上则笼上了淡淡的粉色。
旁白: 虽然她们每一个人都是“樱”，但八重樱终究只有一个。
旁白: 兔女郎小姐，只有一个。
舰长: 前路漫长，我们走吧。
