萝莎莉娅: 呜呜呜……
莉莉娅: 一起上…也不行吗……
琪亚娜: 嘿嘿嘿，知道本小姐的厉害了吧！
舰长: 一言不合就下逐客令么？！存在于此的理由……刚刚你说的到底是什么意思？
孔明: 啧，我从西洋的医书上读到过，适当的物理刺激有助于改善阿尔茨海默病的症状。要再加一个疗程吗？
舰长: 不需要谢谢！
孔明: ——那么你对当时传送失败的原因真的毫无头绪么？
舰长: ？！
孔明: 记住，集中精神，专心致志，一心描绘你那个世界的样子。
孔明: 但凡有一点分心，阵法都会产生动摇，时空的边界会将你整个人撕裂。
孔明: 当然，你是死是活与我无关。只是看在这件事也有我一点点责任的份上，帮你一次，下不为例。
孔明: 准备好了吗？站到阵图上去。
孔明: 是时候启程了——回到你原来的世界。
孔明: …………
孔明: ？？？
孔明: ——！
孔明: 快，快从阵图里离开！
舰长: （刚、刚才的是……？）
孔明: 记起来了吗，下民？
孔明: 把我的阵法搅得一团糟，害得连我也掉到了这种地方的人，究竟是谁？
孔明: 那股足以引发时空扭曲的强烈意念，又究竟是什么？
舰长: 唔…唔……！
芽衣: 舰长，舰长你怎么了……
孔明: 哼，看起来总算是有头绪了么？
孔明: 我先去前面的阵图那里做准备，得到答案后就来找我吧。
