八重樱: 那个就是卡住转轴的碎石吧…旁边似乎还有个人？
坂本龙马: 只要在刀身上缠上火焰，一定能击败那个强敌…
芽衣: 是龙马小姐！你在做什么呀？
坂本龙马: 哦，是你们啊。在下刚才在那边遇到了一只很强的守护兽，在下不敌，暂且告退。
坂本龙马: 但在下在打斗过程中发现那家伙很怕火，所以正在尝试以火焰包裹剑身…嗯？
坂本龙马: 恶鬼，成为在下剑上的铁锈吧！
德丽莎: 呀！
舰长: 喂喂喂你干什么，怎么不由分说就砍人啊！
坂本龙马: 让开！在下要讨伐你身后的恶鬼！
舰长: 吸血鬼不算鬼…呃，也许应该算…？不管怎样，我都不会让你伤害我们的同伴。
坂本龙马: 居然称恶鬼为同伴，你疯了吗？
舰长: 是恶鬼还是同伴我会有自己的判断，判断的依据不是种族，而是心。
坂本龙马: 心？恶鬼怎么会有心！
爱因斯坦: 坂本小姐，排除异己的确是人类的本能，但并不该让本能凌驾于理智判断之上。
爱因斯坦: 至少到目前为止，德丽莎小姐并未表现出对人类的任何攻击欲望和加害表现。
爱因斯坦: 她的感情表达和行为模式都符合一般人类的标准，我有理由判断她并不是该被你斩杀的对象。
坂本龙马: 你是说，恶鬼居然能和人类共处吗？
卡莲: 德丽莎是个温柔的好孩子，我可以用宝藏猎人的直觉来担保！
晓月镇魂歌: 那种东西做不了担保的吧。
坂本龙马: …好吧。既然你们都这么说，在下就暂且观望一下。混迹于人类的恶鬼…究竟是什么模样。
芽衣: 走掉了呢…
舰长: 别担心，德丽莎，你是我们的同伴，这一点不会改变。
德丽莎: ……嗯！
卡莲: 总之，先把卡住转轴的碎石解决掉吧。
