樱: 这翡翠宫里还真是安静啊…
卡莲: 嗯。四周也没有爱酱的卫兵，大概是都被派出去抓我们了吧…不过那也不重要了。
布狼牙: 嗯。爱酱的王座也已经近在眼前。只要能制服她，然后销毁所有的晶坷垃，这一切就都结束了。
卡莲: 哎…不知道以后重建包老庄的时候，又会花上多少时间呢？嘛，不过只要我们不断努力的话，一定就能…
伏羲之书: 停！都给我停！你们这是从哪本连环画上学来的吟唱咒语么！
伏羲之书: 再继续说下去的话，马上就要从不知道什么地方窜出来一辆黑色马车然后下来三个弓箭手对着我们一顿乱射了！
爱酱: 弓箭手没有，大锤倒是有一把，不知道你们喜不喜欢呀？
仙人: 小玄，小心头顶！
旁白: 轰——
旁白: 话音未落，一柄七尺巨锤从天而降，砸在了仙人一行人的面前。
旁白: 而与那巨锤一同出现的，则正是这翡翠宫的主人——爱酱。
伏羲之书: 你这包菜精…高空抛物很危险的你知道么！还好我走位灵活…不然我就要变成小玄饼了！
萝莎莉娅: 小玄饼…听起来好像很好吃的样子！
莉莉娅: 笨蛋萝莎莉娅，你克制一下自己，口水都淌到人家地板上了。
布狼牙: 爱酱，你终于出现了。
爱酱: 是的呢，我可爱的布狼牙。怎么样，这么久不见了，你有没有想我呀？
布狼牙: 爱酱…布狼牙再说最后一遍。销毁所有的晶坷垃，把你夺走的一切都还给大家。
爱酱: 哎呀呀，真的是好可怕的眼神呢…可怕到我都想立刻放下手里这柄大锤，然后跪下祈求你们的原谅了…
爱酱: 怎么可能啊你个笨蛋！
布狼牙: 既然如此，那就没什么好说的了。
旁白: 只听弓弦一声脆响，一支弩箭便直奔爱酱心口而去。可爱酱却像是根本没有看到那支箭一般，一动不动。
旁白: 砰——
旁白: 那弩箭确确实实地射中了爱酱的心口，但却没能对她造成一点伤害，甚至还像是射中了钢板一般被弹开了。
布狼牙: 什么…
爱酱: 布狼牙，你要是真想打倒我的话，得再用点力气才行哦——就像这样！
旁白: 话音未落，爱酱便已举着那巨锤高高跃起，向着布狼牙狠狠地砸了下来。
旁白: 轰——
卡莲: 布狼牙！
旁白: 烟尘散去，众人这才看清——原来那一锤并未砸中布狼牙，而是被仙人硬生生徒手接住，挡在了半空中。
伏羲之书: 榆木脑袋，干得漂亮！
爱酱: 哦？没有选择躲闪或者逃跑，而是选择了正面接下我的一击吗？有趣的女人。
仙人: 小玄，你们退后。这个人不是你们能对付的。
伏羲之书: 诶？那家伙不就也只是个种包菜的么？有什么好怕的…大家一起上，扁她！
仙人: 她的力量绝非普通农户所有。而且从她体内散发出的这股气息…爱酱，你究竟吃过了多少晶坷垃？
爱酱: 嗯…记不清了——难道你会记得自己吃过多少颗包菜么？
旁白: 轰——
旁白: 又是势大力沉的一锤，又同样地被仙人徒手接下。
萝莎莉娅: 小、小玄大人，我和莉莉娅在那边发现了十几个空的麻袋！
莉莉娅: 而且它们里面还都粘着一些那种蓝色的亮晶晶的粉末。
伏羲之书: 这包菜精…难道她刚才一口气吃了十几袋晶坷垃？！不好…榆木脑袋，快回来，那家伙很危险！
旁白: 轰轰轰轰轰——
爱酱: 哈哈，力量…拥有力量的感觉太棒了！你这家伙…吃我这招连环锤法啦！
仙人: ……
伏羲之书: 榆木脑袋…居然被压制住了？！不行，再这样下去的话…伏羲之书，快想想，快想想有什么办法能打倒那个包菜精…
伏羲之书: 啊，有了！
伏羲之书: 榆木脑袋，肚子！打那家伙的肚子！
仙人: 嗯？
伏羲之书: 那包菜精才刚吃下那些晶坷垃没多久，肯定还没来得及消化！
伏羲之书: 现在猛击她的肚子，让她把那些脏东西都吐出来的话…应该还有赢的机会！
仙人: 了解。
爱酱: 呀哈哈哈…做得到的话，就尽管来试试看吧！看锤！
