？？？: 将吾唤醒之人啊，说出汝之心愿吧。
孔明: 这…这是……
舰长: 啊…果然是你啊，格雷姆。
格雷姆: 汝为何会知晓吾名…原来如此，汝是未来曾向吾许下心愿之人啊。
格雷姆: 那么，此次汝便已失去了许愿的权力。
舰长: 哈…那种愿望，还不如没有的好吧？
孔明: 刺客先生…这巨像究竟是何物？
舰长: 呃…怎么说呢？大概是许愿机一类的东西？
舰长: 只要向它说出愿望，那就一定能实现。不过…
格雷姆: 正是如此。
格雷姆: 年轻的王啊，向吾说出汝之心愿吧。
格雷姆: 无论其为何物，吾皆将为汝化为现实。
孔明: 我的愿望？那当然是希望这帝国永享盛世太平。
孔明: 这种程度的愿望，你这石人也能替我实现吗？
舰长: （啊啊…已经说出口了呢……）
格雷姆: 如此，吾已知悉。
孔明: ？！
格雷姆: 将为王者，是为明君。已为相者，是为贤臣。有汝二人，盛世太平绝非难事。
格雷姆: 而若欲使此盛世长存…使汝二人长生便可。
丽塔: ？！
格雷姆: 自今而始，汝二人便得长生不老之躯。若无外祸，将永生不死。
旁白: 随着那巨像话音落下，无数光点自上空飘落，汇聚到孔明和丽塔身旁。
格雷姆: 如此，汝之心愿已成。吾亦当回归长眠之中，以待后世有缘之人。
孔明: 等等…这到底……
丽塔: 它…似乎已经开始沉睡了呢。
孔明: 啊啊…刺客先生，这到底是怎么回事？
舰长: 呃…它一直都是这样。虽然确实是个能实现一切愿望的许愿机，但这很成问题的理解能力也是不争的事实。
孔明: 也即是说…
舰长: 嗯…虽然很难以置信…但你和丽塔应该已经是长生不老之身了。
丽塔: ……这可真是意料之外的发展呢。
孔明: 长生不老…那我岂不是可以有无限的时间去探究这世间的一切奥秘了？
孔明: 就算是遥远的未来，也能……等等，刺客先生，该不会你和未来的我之间……
舰长: ……
舰长: （已经都被她猜到了啊……不，早晚都会被她猜到的吧……）
舰长: 嗯，其实……
Tesla·Zero: 等等……开船的…我们…不能告诉她那些事情……未来…会失控…
舰长: ……
舰长: 嗯，我明白。
孔明: 铁拳先生？铁拳先生，你怎么了？
Tesla·Zero: 不过…是能源不足而已……别担心……这也是…历史…的一环…
Tesla·Zero: 倒是开船的……现在…可不是你该在这…闲聊的时候吧……
Tesla·Zero: 这里…属于你的历史…已经…到此为止了……
舰长: 嗯，我明白。
孔明: 到此为止…刺客先生，你要走了吗？
舰长: ……孔明，你果然还是那么敏锐。
舰长: 或者，应该说从一开始就是如此吗。
丽塔: 承蒙二位一路以来保护孔明大人，丽塔不胜感激。
丽塔: 只是，二位真的不随我们回煌月城小酌几杯吗？百姓也应该知道是谁救了他们。
舰长: ……
孔明: ……
孔明: 丽塔，让他们走吧。
丽塔: 诶？
孔明: 自三年前异兽降世以来，多少将士百姓饱受其苦。
孔明: 这些本不属于这个世界的来客，如朱墨入水，终究会扰乱世界本来的秩序。
孔明: 虽然眼前的刺客先生绝非恶人，但要是他们随我等归城，长久居于此世的话……
孔明: 恐怕也会在我所无法预测之处，对未来产生某些不可控的影响吧。
舰长: 都已经算到这一步了吗……
孔明: 其实昨夜我便已做好了觉悟，去承担那本应属于自己的结局。
孔明: 只是…我原以为此生再也无法与你相见，却没想到今日相见之后，转眼便又将离别……
旁白: 少女用羽扇掩住了一个不无寂寞的微笑。
旁白: 而就在这即将分别之时，我却忽然条件反射般地回想起了某种深藏于心底的绝望。
旁白: 我曾经无数次目睹她步入无边的黑暗之中……近乎于恐惧的冲动让我脱口而出地说道——
舰长: 和我一起离开这里吧，孔明。
孔明: 诶？
旁白: 少女脸上一瞬间露出了无比惊讶的表情，但旋即又消失在羽扇之后。
旁白: 最终，她莞尔一笑。
孔明: 谢谢你，刺客先生。
孔明: 但是…抱歉，我不能和你一起离开。
孔明: 你有属于你的未来，我也有这需要我的帝国。
孔明: 也许前路尚有无数艰难险阻，但那正是我身为国君所应面对，所应经历，所应承受之物。
孔明: 所以，刺客先生，我现在还不能和你一起离开这里。
舰长: ……
孔明: 无论前路为何，我都会凭自己的力量走向那遥远的未来。所以，刺客先生，就请相信我，也相信你自己吧。
舰长: 诶？
孔明: 现在存在于此的你，不就正是未来一切顺利的证明吗？
舰长: 哈…真是服了你了。
舰长: 不管什么时候，似乎都只有被你指点的份儿呢。
孔明: 呵，也不想想吾辈是为何人！你这刺客，要从吾辈这学的东西还多着呢！
舰长: ……
孔明: ……
旁白: 纵使有千万不情愿，离别的时刻还是在沉默中悄然到来。
舰长: 真是的…明明已经到了该说再见的时候，我却还是和以前一样不擅长告别啊……
孔明: ……
舰长: 再见了，孔……
孔明: 刺客先生！
孔明: 我们…我们一定还能再见的吧？
舰长: ……
舰长: 嗯…如果是你的话……总有一天，我们会在未来再会的吧。
舰长: 毕竟…通向那个未来的钥匙，现在可就在你的手上啊。
孔明: 诶？
Tesla·Zero: 呵…你…还真是…敢说啊……
舰长: 抱歉，小特。要让你留在这里很久了。
Tesla·Zero: 觉得抱歉…的话……下次…再见时…请我喝上……
旁白: 未能说完最后的话语，她便陷入了长久的睡眠之中。
舰长: ……
舰长: 孔明先生，小特她就也拜托给你了。
孔明: ……
孔明: 嗯，放心交给我吧。
旁白: 丽塔没说什么，只是向我微微鞠了一躬。
舰长: 那么…就在那遥远的未来再会吧。
舰长: 再见了，孔明。
旁白: 意识映射…解除。
旁白: 最后传入我耳中的，是少女的一句轻语。
孔明: 再见了，刺客先生……
