旁白: 芽衣费力地将特斯拉搬回了赫利俄斯，在她醒来后转述了事情的始末。
特斯拉: 竟然会有这种事……
特斯拉: 你……真的要和她一起去找琪亚娜？
芽衣: 她是认真的，我必须阻止她。
特斯拉: 事情的发展已经超出了预期，我们要马上联系其他人，请求支援。
特斯拉: 那个女人很危险！
芽衣: 我知道她很危险，她对空之律者的憎恨不单单是立场那么简单……
芽衣: 她真的会杀掉琪亚娜。如果有人妨碍她，她也一定不会手下留情。
芽衣: ……但就算如此，我也需要她帮我找到琪亚娜……！
芽衣: ……我已经和琪亚娜擦身而过多少次了？
芽衣: 天命之战的时候……与丽塔对峙的时候……幽兰黛尔将她带走的时候……
芽衣: 一次又一次，我只能在最后一刻眼睁睁地看着她离我远去，却无能为力……
特斯拉: 那不是你的错……
芽衣: 博士，这段时间你总是会安慰我，想办法让我安心。
芽衣: 但我……不想再安心下去了……不想……再欺骗自己……
芽衣: 和她在一起，让我渐渐忘记过去的伤痛，孤独，迷茫……
芽衣: 可随着她的离去，我才发现其实什么都没有变。
芽衣: ……是我……什么都没有变……
芽衣: 我还是像以前一样软弱，蜷缩在安心的角落，抬起头才发现大家的身影都不见了。
芽衣: 正是因为我毫无改变……才会与她渐行渐远，才会变成今天这样……
芽衣: 一直都是她在保护我，而我，却从来没有真正为她做过什么……
芽衣: 我讨厌……这样的自己……！
芽衣: 我必须接受这个事实，现在的我根本没有能保护她的力量。
芽衣: 但这不意味着我要放弃，相反，承认这点能让我看得更清楚……
芽衣: 为了把她带回身边，我必须……做出一些牺牲……
芽衣: 就算是陷阱，就算是无法战胜的对手，我也要去直面。
芽衣: 因为，这是我唯一能保护琪亚娜的方法。
特斯拉: …………
特斯拉: 芽衣……一定要平安回来……
