贝纳勒斯: ————！
旁白: 卷起的风压将最后几只怪物撕成碎片。巨龙落在琪亚娜身旁，等待着下一个指示。
琪亚娜: 哈……哈……
芽衣: ……琪亚娜？你怎么会在这里……！？
芽衣: 啊……你身上的伤……你怎么能随便离开赫利俄斯！
琪亚娜: 我才要问你这个问题……！
琪亚娜: 你什么时候跑出来的……大家突然就找不到你了，你知道我有多担心吗！
琪亚娜: 不说这个了……敌人不知道什么时候又会出现，你快回去和博士汇合。
芽衣: 回去？那你怎么办？
琪亚娜: 我还有事要做。
旁白: 琪亚娜望向远方。光柱仍在涤荡着空中的光轮。
琪亚娜: 那道光柱……我见过这幅景象。
琪亚娜: 使用空之律者的力量，我可以关闭天上的那个大洞，解决这场风暴的源头。
芽衣: 什么……
芽衣: 不，不行！你的伤都还没恢复，你不能再继续战斗了！
琪亚娜: 芽衣，我不能放着它不管。
琪亚娜: 怪物还在出现，崩坏能也在聚集。这场灾难，很快就会蔓延到其他地方。
琪亚娜: 我必须阻止它。
芽衣: 不要再任性了！你还不明白自己的处境吗！
芽衣: 做那么危险的事，你的身体会——
琪亚娜: 那不重要。
芽衣: …………？
琪亚娜: …………
芽衣: ……琪亚娜？
琪亚娜: 芽衣……我都知道的……
琪亚娜: 自己的事……身体的事……我都一清二楚。
芽衣: 不……不……
琪亚娜: 老实说，我也很害怕。想到可能会死，身体就忍不住发抖。
琪亚娜: 可是……我不能因为害怕就逃走。
琪亚娜: 我要去做我能做的事，去负起我应负的责任。
琪亚娜: 只有这样，我才能面对那些因我而受伤的人们，面对曾经的自己……
琪亚娜: ……面对，姬子老师。
旁白: 她回过头，脸上已是和往常一样的笑容。
琪亚娜: 芽衣，别担心啦，我可是很厉害的。
琪亚娜: ……安心等我回来吧！
芽衣: 琪亚娜——不要——！
旁白: 狂风吹起，将雨滴拍打到芽衣脸上。她看见琪亚娜跃上龙背，朝着远方的光轮飞去。
旁白: 她不断呼唤，可所有的声音都被奔涌的光流淹没，消失……
旁白: 同那个远去的身影一起，再也看不见，触不到。
