旁白: 数小时后，某台乐园终端附近
机械音: 乐园ID认证完成。特斯拉小姐，请问有什么可以帮到您的吗？
特斯拉: 我要还钱！本天才欠的钱，一分不少，都在这了！
机械音: 数据同步中，请稍候。
爱因斯坦: 恭喜你成功赎回了自己，特斯拉博士。接下来你打算怎么做？
特斯拉: 接下来？当然是去找到那俩只会到处捣乱的熊孩子，再去把海渊之眼给关上——然后回去狠狠揍某个算计我的鸡窝头一顿。
爱因斯坦: 除了最后一条以外听起来都不错，但是，特斯拉博士，你打算去哪找阿琳姐妹呢？
特斯拉: 呃……
爱因斯坦: 我现在也很难定位到她们的位置，但我想有一个人应该很清楚她们在哪。
特斯拉: 你是说…那个变态女仆？
爱因斯坦: 没错，她应该知道很多我们需要的信息。找到她，问题应该就会迎刃而解。
爱因斯坦: 我知道博士你很讨厌她，甚至只要接近她就会出现不适的生理反应，但是……
特斯拉: 但我们现在也没有别的线索了，对吧？
爱因斯坦: 就是这样。
特斯拉: 哎…鸡窝头，我觉得你可能是哪里误会了。
爱因斯坦: 嗯？
特斯拉: 我确实很讨厌那个变态女仆，也确实一靠近她就浑身难受……
特斯拉: 但是，我现在却非常想赶快找到那家伙然后狠狠地揍她一顿啊！
特斯拉: 不就是有钱吗！有钱很了不起吗！居然敢让本天才给她打工…真是的，本天才这辈子就没被人这么欺负过！
爱因斯坦: 万事开头难，特斯拉博士。
特斯拉: 死鸡窝头你少在那说风凉话！你最近可没少算计我…等我回去了肯定也要揍你一顿出气！
爱因斯坦: 反对暴力，特斯拉博士，尤其是以我为目标的暴力。
特斯拉: 哼，你反对也没用！
机械音: 数据同步完成。特斯拉小姐，恭喜您还清了自己所有的欠款。请问还有什么能帮到您的吗？
特斯拉: 把门给我打开！我现在就要去找那个变态女仆算账！
机械音: 如您所愿，特斯拉小姐。
