？？？: 吸溜吸溜……
旁白: 听到这声音，泉之精灵忽然停下了动作。她审视着四周，试图寻找声音的来源。
泉之精灵: 这是什么声音？
特斯拉: 什么……声音？
旁白: 特斯拉下意识跟着重复一句。此时的她正被泉之精灵揪住衣领，神志模糊，连眼镜都歪在一边。
泉之精灵: 你们都没听到吗？好像有人在吃什么东西。
爱因斯坦: ……吸溜吸溜……嗯？你们是在说我吗？不好意思，不小心碰到音量增强按钮了。
特斯拉: 鸡窝头你那碗泡面还没吃完吗？！
爱因斯坦: 我还有很多碗泡面，酸汤肥牛口味，劲辣豚骨口味，芝士意面口味……哦，这个是新出的，黑蒜油豚骨口味。羡慕吗？
泉之精灵: 泡面……是什么？
萝莎莉娅: 不会现在还有人连泡面都没吃过吧，不会吧？
莉莉娅: 泡面是深夜最美味的食物，只要加入热水，几分钟后就可以吃上了哦。热乎乎的呢~
泉之精灵: ……只要水就可以了？
特斯拉: 咳嗯，如果泉之精灵小姐感兴趣的话，不如让我来直观地为你演示一下吧。鸡窝头，泡一碗面给这位泉之精灵小姐看看。
爱因斯坦: 当然可以，就选这劲辣豚骨口味好了。
特斯拉: 那么接下来，为你展示的将是我们实验室加班熬夜拖DDL的常备佳品——
旁白: 全息投影下，爱因斯坦将热水注入一盒干巴巴的块状物中。
旁白: 短短几秒，在所有人的注视下，那盒干巴巴的块状物竟然飞速膨胀，变成热气腾腾、柔软又富有弹性的——
泉之精灵: 这……这就是泡面？
特斯拉: 其实，它并非是传统的泡面，而是我们实验室研制的内部产品——高吸水性冻干食品。
特斯拉: 节省了等待的时间，只要注入热水，几秒后即可享用热气腾腾的食物！
爱因斯坦: 吸溜——吸溜——
特斯拉: 食物在真空冰状脱水后，保存了原有的色、香、味、营养成分和原有的物料的外观，并具有良好的复水性。
特斯拉: 所以，不仅仅是泡面，我们实验室还有炸鸡、汉堡……只要加入适当比例的水，就可以享用了~
萝莎莉娅: 萝莎莉娅开始饿了……
莉莉娅: 啊……那碗泡面看起来的确很好吃……
泉之精灵: ……哼。
特斯拉: 怎么样，您一定心动了吧？一份试吃盒内有七种食物，现在下订单立即赠送特调核子快乐水！
旁白: 泉之精灵咽了咽口水，依旧绷着脸，表情严肃，盯着正在吃泡面的爱因斯坦。
泉之精灵: 你以为凭借这种东西就能转移我的注意力么？
泉之精灵: 我可是接受过专业的偶像训练的，才不会被人类的这些无聊食物诱惑……
旁白: 咕~泉之精灵小姐的肚子不合时宜地叫了一声。
泉之精灵: 不过……先买五十份尝尝倒也不是不可以。
特斯拉: 那么泉之精灵小姐，请在这里签名~签了名订单就算是生效了哦~过几天就会为您送货上门哦亲~
泉之精灵: 签好了。
特斯拉: 呼…感觉终于松了口气呢。
莉莉娅: 虽然解决了食物问题，但泉之精灵小姐看起来并没有很高兴的样子。
萝莎莉娅: 泉之精灵小姐，难道你觉得这些不够吃吗？
泉之精灵: ……不……
泉之精灵: 如果被粉丝们发现我在吃这种高热量的食物的话……我一定会被他们讨厌的吧。
萝莎莉娅: 才不会被讨厌呢！
萝莎莉娅: 如果偶像只是包装漂亮的空壳，那才是最无聊的，对吧莉莉娅！
莉莉娅: 萝莎莉娅说得没错，没有自己个性的偶像很快会被大家忘记的。不完美的个性，或许正是你的可爱之处哦。
泉之精灵: 可爱么……
泉之精灵: 还是第一次听到别人这么形容我…和我的人设形象相差太远了。
特斯拉: 但是，接受自己的另一面，和保持偶像身份并不矛盾吧？偶尔偷懒也好，偶尔贪吃也好，都是一种必不可少的放松。
泉之精灵: 是么？
爱因斯坦: 呵呵~如果把特斯拉博士每次为偷懒找借口的说辞整理成册，估计已经和字典一样厚了吧。
特斯拉: 死鸡窝头你给我闭嘴……咳嗯，那我们就先走一步了！后会有期啦，泉之精灵小姐。
