？？？: 来不及解释了，快上车！
旁白: 弥散的冰尘之中，少女向特斯拉伸出了手。
特斯拉: 你是…布洛妮娅？！
布洛妮娅: 你、你为什么会认识我…没时间了，先离开这里再说！
特斯拉: 钻头姑娘，你来的还挺及时的嘛！是鸡窝头派你来…诶诶诶脚下突然出现的传送门是怎么回事？要掉下去了啊啊啊——！
泉之精灵: 哼，想跑？没那么容易！
布洛妮娅: 快，抓住布洛妮娅的手。
特斯拉: 开车开车，快开车！赶快甩开那家伙！
布洛妮娅: 坐稳了吗？一定要系好安全带哦，我的车速可是很快的。
特斯拉: 坐稳了坐稳了！能开多快就开多快——啊啊啊啊啊啊啊啊啊！
旁白: 稍后片刻，乐园下层区
特斯拉: 啊啊啊啊啊——！
特斯拉: 小丫头你这是什么车啊？！开的也太快了点吧？！完全就是彻底无视交通规则的超速行驶！
特斯拉: 好痛！
旁白: 忽然一个急刹车，特斯拉一头撞在了布洛妮娅的头盔上。
布洛妮娅: 呼，那些人似乎没有追过来呢。嗯？你看起来脸色似乎不太好。
特斯拉: ……
布洛妮娅: 晕车了？
特斯拉: ……呕……
布洛妮娅: 哎，先在这休息一会儿好了。车座下面有水，拿出来喝一点吧。
布洛妮娅: 我的车是有点快，不过多坐几次也就能习惯了。
布洛妮娅: 其实很多人第一次坐我的车都会这样，唯独我的那两个老妹儿，不仅一点都不难受，而且还很享受这种风驰电掣的感觉……
布洛妮娅: 当年，我和她们骑着摩托车纵横大街小巷…现在想想，还真是令人怀念。
特斯拉: 怎么感觉好像有哪里不太对…但又说不出来……
布洛妮娅: 她们失踪了很长一段时间…直到不久前，我才终于在南方的荒漠里找到了她们的踪迹。
布洛妮娅: 可就在大家开派对庆祝的时候，我一个没留神，就又让她们在我的眼前消失了。
布洛妮娅: 我可怜的老妹儿们…她们就连到家以后的第一口饭都没能吃上。
特斯拉: 你说的真的是萝莎莉娅和莉莉娅么…还有你这「老妹儿」的口癖又是怎么回事？
布洛妮娅: 在那之后，我就又骑上了自己的摩托车，再次踏上了寻找老妹儿们的漫长旅途。
布洛妮娅: 我找了好久好久…就在我快要放弃希望的时候，四周忽然出现了无数的传送门，其中一扇门里更是传来了她们的歌声…
布洛妮娅: 和你的声音。
布洛妮娅: 我毫不犹豫地冲进了那扇门里，结果却只见到了你。但我想你一定知道她们现在在哪，就顺手把你给救出来了。
旁白: 布洛妮娅从衣服口袋里掏出了一张泛黄的老照片，叹了口气。
布洛妮娅: 我的老妹儿们…你一定知道她们去哪了，对吧？
特斯拉: 哦哦，这一看不就是萝莎…这俩杀马特是谁啊！
布洛妮娅: 是我的老妹儿们，萝莎莉娅和莉莉娅。
特斯拉: 虽然名字都能对得上但这形象也相差太多了吧！你真的没有认错妹妹吗？还是说这是什么新时代的P图艺术？
布洛妮娅: 我是不可能认错自己的老妹儿们的。这的确是她们的照片。
爱因斯坦: 嗯…特斯拉博士，她说的或许都是真的。
特斯拉: 呵，信号终于恢复了么？
爱因斯坦: 嗯，不过还是有些不太稳定，所以我们就长话短说吧。
爱因斯坦: 从观测数据来看，出现在你身边的布洛妮娅应该是来自609号世界泡的原住民，并非是我们所熟悉的那个。
爱因斯坦: 因此，我认为她所说的妹妹们，应该也是原生于609号世界泡内的萝莎莉娅和莉莉娅。
爱因斯坦: 当然，也不排除照片上的人就是我们所熟悉的阿琳姐妹的可能性——她们或许曾抵达过609号世界泡，并拍下了这张照片。
特斯拉: 你这说了和没说有什么区别吗？！怎么看都是这小丫头认错人了吧！
布洛妮娅: 你们在说些什么莫名其妙的话？是晕车还没清醒过来吗？
特斯拉: 才没有！明明就是你认错…算了，这种事三两句话也解释不清楚，等找到她们以后你就明白是怎么回事了。
特斯拉: 现在还是赶紧找到她们…嗯？我的远程跟踪探测仪怎么不见了？！
布洛妮娅: 也许是刚刚掉在路上什么地方了？要我开车带你回去找找看吗？
特斯拉: 算了，反正那玩意也快坏了，丢了就丢了吧。那俩熊孩子应该也还没跑远，我们沿着这条路追肯定能追上。
特斯拉: 出发吧，布洛妮娅！全速前进，去找到那俩越狱的小丫头！
布洛妮娅: 全速么？没问题，抓紧了哦。
特斯拉: 等——啊啊啊啊啊——！
