特拉洛克: ——！
旁白: 摩托车仍在向前飞驰，但却始终无法与身后那异形的巨兽拉开距离。
旁白: 不仅如此，那巨兽在追击时撞碎的地面与墙壁，也变成了无数碎石，如暴雨般向着众人袭来。
旁白: 轰——！
旁白: 布洛妮娅驾驶着摩托车全力躲避，但终究也还是无法闪过所有的碎石。
旁白: 那些石块狠狠地砸在了特斯拉张开的防护力场上，擦出一大片火花。
特斯拉: 可恶…防护力场马上就要撑不住了！得想个办法先和那鬼东西拉开距离才行！
特斯拉: 不然别说是回收数据了…防护罩一炸我们就全都得玩完！
泉之精灵: 哼，没用的人类。
旁白: 一声响指，幽蓝色的空间之门随之在摩托车前不远处出现。
特斯拉: ？！
泉之精灵: 冲进那扇门里去吧，车手。我来帮你们暂时避开那只怪物。
特斯拉: 干的漂亮啊，传送门精灵！真是帮大忙了！
泉之精灵: 呵，别误会了，人类。要不是为了我的泡面……
特斯拉: 知道了知道了！标准的傲娇发言就不用每次都来一遍了！我们现在没那么多时间！
泉之精灵: ……？！
特斯拉: 快，小丫头！在后面那鬼东西追上来之前冲进那扇门里去！
特斯拉: 等鸡窝头搞定了那些能量增幅装置以后，我们再来找这丑八怪算账！现在逃命要紧！
布洛妮娅: 嗯，就交给我吧。各位，坐稳了！
系统提示: 击败附近游荡的怪物们，收集「数据芯片」以建造「能量增幅装置」吧！
