旁白: 走出车站时，天色已近全黑。
柯南·道尔: 奇怪，约定中会来接站的工作人员似乎并不在这里。
符华: 到站时间应该没有误差太多，而且……
符华: 明明才这个点，天色竟已如此昏暗……这里一直是这样的么？
柯南·道尔: 据说这是「大灾变」的后遗症。从四年前开始，这片地域就被长年的暴雨天气所笼罩，难辨昼夜。
艾琳·艾德勒: 呵呵，先生果然博闻强识。坊间关于圣方丹的传闻多有虚饰，先生如此了解，想必来此之前的确是做了一番功课。
柯南·道尔: 咳，这个，不过是刚刚在火车上善用搜索的结果。
符华: 既然接站的工作人员不见踪影……医生，你有什么能够主动联系对面的方式么？
柯南·道尔: 很遗憾，对方的密保措施做得相当到位。全部通讯都是由对方主动联络，而在地图上也无法搜索到瓦尔特庄园的存在。
艾琳·艾德勒: 这算不上什么大问题，道尔先生。艾琳并非第一次造访瓦尔特先生的庄园，我可以为二位带路。
艾琳·艾德勒: 不过相对的……若是路上遇见了什么奇怪的东西，还得烦请两位替我护卫一二。
符华: 护卫么……我观你步态、气息，似乎身手不弱，至少比起医生要强上些许。
柯南·道尔: 咳，我亲爱的华……如果可以的话，在淑女面前请多少给我留点面子。
艾琳·艾德勒: 符华小姐说笑了，我不过是一个孱弱的小女子，最多只是粗通一些防身之术罢了。
符华: 防身之术么……我只是在陈述一个客观事实而已，医生。
柯南·道尔: 好好好。那么，接下来就有劳艾德勒小姐了。
艾琳·艾德勒: 这是我的荣幸。
