布洛妮娅: 胡狼老师，她……死了？
约阿希姆: 去确认一下吧。
旁白: 很快，所有人都凑到了胡狼身边，连渡鸦也不例外。
旁白: 我俯下身，检查了一下胡狼的身体。
柯南·道尔: 已经没有生命迹象了。
符华: 怎么会……
旁白: 大家的脸色都有些苍白，布洛妮娅转过了身似乎不忍再看，纤细的肩膀微微耸动。约阿希姆低声安慰了她几句。
艾琳·艾德勒: 连环杀人。
旁白: 艾琳轻声呢喃着这个不详的字眼。
旁白: 这时，特斯拉博士正好从配电室回来，我们将发生的事情告诉了她。爱因斯坦博士也来到一楼。
特斯拉: 怎么会……居然还会有死者出现！
柯南·道尔: 我们来梳理一下刚刚发生的事情吧。
柯南·道尔: 当我和艾德勒小姐、爱因斯坦博士检查完凶案发生的房间后，发生了原因不明的停电。
柯南·道尔: 这时，楼下的人员有胡狼、渡鸦和小空，以及——
旁白: 我看一眼站在爱因斯坦和特斯拉中间的小乔。
旁白: 在刚刚的混乱中，他的衣服都被渡鸦拉扯得有些凌乱，现在低垂着脑袋，也不知道是不是还没从惊吓中缓过来。
柯南·道尔: ——乔弗利。
柯南·道尔: 而就在停电数秒后，小空发出尖叫。随后我和艾德勒小姐下楼，和把我们误认为是绑架犯的渡鸦大打出手。
柯南·道尔: 之后布洛妮娅小姐一行正好回到公馆，符华也加入了战斗，随即特斯拉博士修好了电力。
爱因斯坦: 而胡狼……则是在停电期间被某个人杀害了。
旁白: 爱因斯坦向我投来一个眼神，我明白她想到的是谁。在这样的情况下，我决定将灰蛇的存在公之于众。
符华: 灰蛇……如果他真的潜伏在附近，不得不说是头一号嫌疑人。
艾琳·艾德勒: 等一下，距离停电到小空发出尖叫只有十几秒的时间吧？
艾琳·艾德勒: 那么犯人几乎不可能是孤身一人，因为从配电室赶到大厅需要的时间都比这长。
特斯拉: 不，关于这一点，其实犯人即便是一个人也能做到。
特斯拉: 根据我的检查，切断电力系统的是一种简易的定时装置，虽然是相当简陋的手工制品，但做到制造时间差还是没问题的。
柯南·道尔: 原来如此……在停电之前，有人在和胡狼交谈吗？
旁白: 听到我这个问题，一阵沉默降临了。随即，一个让我惊讶的人物做了一件让我惊讶的事。
旁白: 只见一直默默不语的小乔，忽然伸出手臂，笔直指向了渡鸦。
乔弗利: ………
柯南·道尔: 小乔，你是说停电之前，是渡鸦在和胡狼说话吗？
旁白: 小乔点了点头。大家一齐看向了渡鸦。
渡鸦: 哼，确实是我，但那又怎么样。
渡鸦: 停电之后，我曾感觉到一个人影从我身边穿过。一定是他杀了胡狼。说不定小空也……
旁白: 渡鸦的表情不像是在说谎。
特斯拉: 哼，谁知道这个什么人影是不是你杜撰出来的？
特斯拉: 我看胡狼八成就是你杀的吧？你们分赃不均起内讧了？
渡鸦: 你说什么？！
乔弗利: 等一下，博士。她没有说谎。
乔弗利: 当时我在和小空说话，也感觉有一个人影快速接近，然后小空就尖叫起来，等我再看时，她已经不见了踪影。
乔弗利: 然后我就被渡鸦给拦住了。
旁白: 我看着忽然侃侃而谈起来的乔弗利，不禁挑起了眉毛。这孩子身上有种奇妙的违和感。
旁白: 根据渡鸦和小乔的证言，应该可以判断凶手并不在在场的人员之中。那么，真的是潜伏在暗处的灰蛇杀死了胡狼？为什么？
旁白: 我托着下巴陷入沉思。突然，一种奇怪的感觉侵占了我的感官。
旁白: 可能是我把这种微妙的不适感表现在了脸上，我身边的约阿希姆投来了讶异的目光。
约阿希姆: 你没事吧，道尔先生？
旁白: 这奇怪的感触逐渐在我身体里扩散，仿佛要侵占我的全身，周围的景色也在逐渐离我远去。
旁白: 我甚至没能抵抗，就昏昏沉沉地陷入了一个梦境，在梦中我闻到了不知为何令人感到怀念的花香。
