？？？: （有入侵者。但看起来不是杀死主人的凶手？）
布洛妮娅: （数据库全局扫描开启……）
布洛妮娅: （相关条件查询中……）
布洛妮娅: 海量的数据资讯。（没有分类、没有标签、没有索引，这是……？）
布洛妮娅: 灰蛇这家伙，竟然把整个天穹市网络上流动的信息全都保存了下来。
布洛妮娅: 更让人吃惊的是，他对这些信息完全不加整理。
德丽莎: 其中没有任何关于琪亚娜的情报吗？
布洛妮娅: 也许有……但布洛妮娅要花上好几天才能知道结果。
德丽莎: 那就把它们全都带走？
布洛妮娅: 不可能。迁移这么庞大的数据，花费的时间会更久。
芽衣: ……就没有其他办法了吗？
布洛妮娅: 对一个情报贩子来说，这么不加筛选的窃取信息，实在太奇怪了。
布洛妮娅: 除非这就是灰蛇想要的结果。
布洛妮娅: 难道说……让布洛妮娅查一下。
布洛妮娅: ……………………
布洛妮娅: 果然。
布洛妮娅: 灰蛇调取过的所有数据都指向了同一个接口——
布洛妮娅: 他有一个超乎想像的情报处理“工具”。
布洛妮娅: 确切的说，不是工具，是“她”。一个Cyborg（改造人）。
芽衣: Cyborg（改造人）？像灰蛇那样接受过机械义体移植的人？
布洛妮娅: 没错，不过这个Cyborg的改造手术……有些疯狂。她几乎改造了整个大脑。
德丽莎: 这怎么可能……
布洛妮娅: 她的大脑与一台量子计算引擎进行了拟合，因此具备了惊人的算力。
布洛妮娅: 那些每天从天穹市网络上监听得来的数据，确实没有必要进行分类……
布洛妮娅: 因为对那个Cyborg（改造人）而言，根据主人的需求筛选出情报，不过是一眨眼的事情。
布洛妮娅: 监控系统显示，她的定位还停留在这个据点里。
布洛妮娅: 等等，目标突然开始移动了……
德丽莎: 快！要知道琪亚娜的下落，就全靠她了！
