旁白: 珊瑚岛外围，天命营地。
亚尔薇特: 各位，紧急通报！5分钟前，珊瑚岛中心产生了一次能级恐怖的崩坏能爆发！
亚尔薇特: 从爆发点产生的异常重力波，已经波及三分之一的城区！
亚尔薇特: 更糟糕的是，爆发中诞生了一只巨大的怪物！
亚尔薇特: 而且…在对该生物的调查扫描中…得到了一个难以置信的数据……
亚尔薇特: 从这只怪物的体内，我们检测出了两个高浓度崩坏能反应。
亚尔薇特: 其中一个与冰之律者的律者核心波长吻合，而另一个却是从未检测到的律者反应！
亚尔薇特: 也就是说，刚才的那次崩坏爆发中又诞生了一名律者……！
幽兰黛尔: …………
亚尔薇特: 目前，珊瑚岛的情况已经通过外部通讯传回给了总部。
亚尔薇特: 总部发来的简讯中标明了律者的特征。
亚尔薇特: 由珊瑚岛突发的重力波异常反应分析，新生律者的能力与前文明的第九律者基本吻合。
幽兰黛尔: 由两个律者结合而成的怪物……
亚尔薇特: 没错……如今珊瑚岛崩坏已提升至最高等级崩坏事件，总部将最大限度调集战力增援。
亚尔薇特: 在这期间，主教希望我们暂时撤退，与主力部队汇合，避免不必要的伤亡。
幽兰黛尔: 了解。现在前线损失惨重，不适合再继续作战。
幽兰黛尔: 亚尔薇特，撤退指挥就麻烦你了，带大家撤离吧。
亚尔薇特: 唉？那队长你怎么办？
幽兰黛尔: 我去牵制那只怪物，尽可能获取更多情报。
亚尔薇特: 可是……这太危险了！
幽兰黛尔: 亚尔薇特，现状已超出了控制。而随着时间推移，事态只会变得更加严重。
幽兰黛尔: 在这种局面下什么都不做，才是更危险的选择。
亚尔薇特: 但是……副队长已经身负重伤，如果您也……
幽兰黛尔: 放心吧，亚尔薇特。
幽兰黛尔: 丽塔就先拜托你了。
亚尔薇特: ……我明白了！队长，您一定要小心！
