旁白: 远离天穹市的海面，休伯利安号舰桥上。
德丽莎: 事情的经过大致就是这样……我们失败了，到最后也没能查清琪亚娜的下落。
德丽莎: 唯一的收获就是救出了这个小姑娘。
爱因斯坦: 不要自责，德丽莎女士。毕竟你们在丽塔手中安全脱身了……还带回了人形机这个最后的希望。
德丽莎: ……丽塔这家伙，和过去一样危险。外表看上去温顺无害的样子。
德丽莎: 但只要一不留神，她就会在你背后用让你毛骨悚然的眼神盯着你……
特斯拉: 唔？又是这个可恶的女人吗！
特斯拉: 下次碰到她，绝对要亲手把她绑起来，塞进银色子弹里射出去！
爱因斯坦: 特斯拉博士……请不要在工作时间大声喧哗。
爱因斯坦: 说回正题。经过检查，人形机的数据已经被格式化了。
爱因斯坦: 她现在正处于休眠状态，机能已经全部关闭。我在尝试恢复数据，看看能不能找到琪亚娜的线索。
爱因斯坦: 格式化抹去了量子计算引擎里的数据……但好在她的大脑仍然有一部分属于人类。
爱因斯坦: 我可以通过记忆唤起的方式，让她的人类大脑回想起自己读过的数据。但可能要为人形机建立一个全新的人格系统才行……
爱因斯坦: 她脑部的量子计算引擎具有惊人的运算能力，所用的原理和逆熵或天命的科技截然不同。这……就是「世界蛇」的手笔吗？
德丽莎: 「世界蛇」……在天命的档案记录中，这只是一个专门制造各种奇特崩坏能武器的秘密组织。
德丽莎: 这些年来他们很少在明面上活动。
特斯拉: 有谣言说……「世界蛇」一直在尝试各种人体改造研究。
特斯拉: 他们号称人类已经停止进化太久了，要为人类带来全新的变革，让人和崩坏共存。
特斯拉: 唉……看到这个孩子，我开始相信这一切并不是传说。
特斯拉: 除了天命主教之外，你们还见过这么疯狂的家伙吗？
爱因斯坦: 我们面前不就有一个吗？虽然她不做人体实验……
特斯拉: 喂喂。通古斯的事情，只是一次失败而已！我已经反省了……
爱因斯坦: 恢复又失败了。数据抹除的太彻底，我可能得换个思路。
爱因斯坦: 德丽莎女士，我想使用休伯利安的处理系统进行调试。
德丽莎: 明白了。嗯那个……密码是TERITERI。请、请不要用这种奇怪的眼神看着我……
爱因斯坦: ………………
