芽衣: 学园长，甲板和舰桥部分的敌机已经全部肃清了。
特斯拉: 德丽莎，芽衣！拿上武器，我们去主引擎室看看。
德丽莎: 「月光王座」的引擎？
特斯拉: 没错。逆熵一直都在研究如何彻底终结崩坏。「月光王座」引擎就是这个计划的产物。
特斯拉: 这次它被改装在休伯利安号上，是第一次用于实战。
特斯拉: 效果你也看到了！在对付空之律者时，引擎的转化光束确实困住了空之律者，将她体内的崩坏能转变成其他形式的能量。
德丽莎: 可惜……功亏一篑。
特斯拉: 是的，引擎的转化功率还远远不够。解决这类难题，需要大量的技术支持。所以，我们在全世界寻找人才。
特斯拉: 自从第二次崩坏结束后，逆熵吸收了许多类似米高扬设计局这样的工业集团。
特斯拉: 在组织扩张的过程中，我们被一股来历不明的势力渗透了。
德丽莎: 你是说……「世界蛇」渗透进了逆熵内部？
特斯拉: 结论已经很明显了吧。瞧瞧这些完全像是复制粘贴一样制造出来的机甲。至少内部的技术泄漏情况已经很严重了。
德丽莎: 逆熵内部从来没有察觉到吗？
特斯拉: 我和爱因都有所怀疑。但有嫌疑的对象实在太多了，比如可可利亚。只是……明确的背叛证据却一个也没有。
特斯拉: 中间有太多复杂的事情，等之后有机会再向你们解释。当务之急，我得赶快去“打扫”一下引擎室才能安心！
