布洛妮娅: 萝莎莉娅，莉莉娅，情况我已经向大家说明了。带我们去见可可利亚妈妈吧。
萝莎莉娅: 你们好呀~首先向没见过的大家做个自我介绍吧。
萝莎莉娅: 我是萝莎莉娅·阿琳，双胞胎中的姐姐，现在作为独当一面的战士跟着妈妈一起行动。
萝莎莉娅: 这是我的妹妹，莉莉娅·阿琳。
莉莉娅: 初次见面，请多关照。
莉莉娅: 萝莎莉娅是个笨蛋，如有冒犯，只是她的个人行为，和莉莉娅没有关系。
萝莎莉娅: 喂，谁是笨蛋啊！
德丽莎: 出来和崩坏兽战斗的，只有你们两个孩子吗？
萝莎莉娅: 嗯？小朋友，你说谁是孩子呢。
莉莉娅: 我们已经是大人了，再把我们当孩子可是会吃苦头的。
萝莎莉娅: 就是就是，说出来吓死你，我和莉莉娅的身体里各有一只崩坏兽，我们超厉害的！
德丽莎: …崩坏兽？
莉莉娅: ……
莉莉娅: （你又把不该说的说出去了。）
萝莎莉娅: （呃…！）
莉莉娅: （我要告诉妈妈，对你施以揪尾巴之刑。）
萝莎莉娅: （不要啊，我的尾巴很敏感的！）
莉莉娅: 对不起，这是我们的秘密，请不要过问。
莉莉娅: 自我介绍就到这里，我们赶紧出发吧。
爱因斯坦: 目的地是？
莉莉娅: 海渊城，您应该知道具体坐标，爱因斯坦博士。
爱因斯坦: 我明白了。
爱因斯坦: 德丽莎女士，我们先回休伯利安吧。详细情况我之后会解释。
旁白: 众人回到了休伯利安上。
爱因斯坦: 接下来，我们要前往逆熵镇守的前文明遗迹「海渊城」。
爱因斯坦: 很抱歉之前没有和你们提起，我并不是想隐瞒它的存在。
德丽莎: 没关系。这种大大小小的遗迹谁家都有几个，不提也很正常。
爱因斯坦: ……
德丽莎: 所以…我们现在是要去海上的某个小岛吗？
爱因斯坦: 不。可能有些难以置信，我们的目的地…是海底。
