旁白: 次日上午11:00，休伯利安舰桥。
爱因斯坦: 有一个好消息。
爱因斯坦: 根据系统拟合的结果，量子之海将在20小时后达到短暂的稳定状态。那会是我们开展行动的好时机。
爱因斯坦: 所以今天，我必须完成渴望宝石的定位。
布洛妮娅: 布洛妮娅有什么能帮忙的吗？
爱因斯坦: 布洛妮娅，虽然你很聪明，但我想你应该没有接触过柯西-古萨基本定理。
布洛妮娅: …布洛妮娅确实不了解。
爱因斯坦: 那就帮我另一个忙吧。
爱因斯坦: ——请带她们离开，给我一个安静的工作环境。
萝莎莉娅: 哟呵！早上好，我们来玩啦！
莉莉娅: 萝莎莉娅，现在已经不是早上了。
爱因斯坦: 为什么她们会在这儿？
德丽莎: 可可利亚让她们和我们一起行动，虽然现在好像也没什么敌人需要对付。
德丽莎: 布洛妮娅，我还有些事要处理，你带她们出去玩吧？
布洛妮娅: 萝莎莉娅，莉莉娅，不要影响博士工作了，去外边闹吧。
萝莎莉娅: 好诶，可以和布洛妮娅一起玩了！
萝莎莉娅: 嗯…该玩点什么好呢，捉迷藏怎么样？今天有三个人了。
莉莉娅: 捉迷藏很好，不用动，我很喜欢。
布洛妮娅: 布洛妮娅不喜欢，还有什么选项吗？
萝莎莉娅: 唔…对了！
萝莎莉娅: 难得今天有观众，让布洛妮娅看看我们的小剧场吧？
布洛妮娅: 小剧场？
萝莎莉娅: 说出来你可能会吓到，你不在的这段时间里，我和莉莉娅可是做了相当不得了的事。
萝莎莉娅: ——我们已经进入西伯利亚演艺圈，成为了大名鼎鼎的童星组合「伏特加女孩」！
莉莉娅: 只限于可可利亚孤儿院内。
萝莎莉娅: ——每年都有数不尽的演出！
莉莉娅: 其实一共就一次。
萝莎莉娅: ——每一场演出都座无虚席！
莉莉娅: 全是孤儿院里的孩子。
萝莎莉娅: ——许多观众没有座位，只能站着看完全场！
莉莉娅: 唉，都是因为凳子太少了，一共才三个。
萝莎莉娅: 莉莉娅，你能不能少说几句！
布洛妮娅: …还是来玩捉迷藏吧。
