旁白: 清晨五点，天命总部浮岛。
丽塔: 嗯~迎着晨风，深吸一口这两万英尺高空未受污染的空气…
丽塔: 看着曙光从海平线的尽头缓缓升起，让每一座天命浮岛都笼罩在金色的阳光下。
丽塔: 真是美好的一天…
丽塔: 对于女仆来说，尤其如此。温度、湿度、气候……各方面的因素都完美无缺，适合来一次全面的清扫。
奥托: 哦？每天都如此恪尽职守吗？
丽塔: 早安，主教大人。请问您有什么紧急任务需要我去办？
奥托: 完全没有……至少今天没有。根据规章，你可以休假一天。好好放松一下身心吧。家政劳务可以交由自动机器人来完成。
丽塔: 主教大人，恕我直言，作为阿波卡利斯家族的侍从，把这样美好的一天浪费在休息上未免有些奢侈了。
丽塔: 何况，前一阵子反叛者们在岛上造成的混乱还没完全收拾干净——
丽塔: 跑出收容的崩坏兽，程序错误离开岗位的机器人，还有各种大大小小被翻的乱糟糟的物资…
丽塔: 真抱歉，我这人哪怕看到一丝灰尘都忍不住要动起手来，根本没法放松身心。
奥托: 丽塔，你让我有些感动了。
奥托: 既然这样，不如让我来帮你一个小忙，就当做——送给你的礼物吧！
奥托: 我趁着闲暇时间，对你的制服做了一些小小改进，安装了我的三个新发明。
奥托: 首先要介绍的是“家政外骨骼”。
奥托: 它会自动识别你的家政工作种类，通过外骨骼系统辅助你的每一个清扫动作，帮助你迅速从繁重的工作中恢复精力！
丽塔: （唔……听起来像是某种提给残障人士使用的复健装置？）
奥托: 而与之配套的则是“服务感应模块”，它会记录下你的清扫数据，并且在下一次劳动时为你提供帮助，让你事半功倍！
丽塔: （看起来主教大人完全沉浸在介绍自己发明的热情当中了。）
奥托: 最后，也是最重要的“洁具遥感系统”。有了它，你可以随意激活岛上各处的机关设施——
奥托: 而当识别到你的身份时，它们的运转功率也会提升到200%！
丽塔: （…那些地雷和激光塔对清扫会有什么帮助呢？只会在地板上留下不可清扫的痕迹。）
丽塔: 是吗？那真是太方便了。
奥托: 呵呵，这样有趣的小发明偶尔也会让我回想起当年的自己…
丽塔: 感谢主教大人为我提供如此便利的工具…
丽塔: 事不宜迟，我现在就开始今天的清扫工作吧。幽兰黛尔大人还等着我准备早餐呢。
