爱因斯坦: 舰长你看，这里有血迹。
舰长: 唔，看来这里刚刚有一场激烈的战斗。除了我们，难道还有其他人在这里么？
舰长: 你们仔细听，有什么人在…好像是“吨吨吨吨”的声音？
精卫之翼: 哦哦！我感觉到了！还有其他同类在这里！
舰长: 但是，又是血迹又是奇怪的声音，看起来有些不妙啊，难道老师的同类已经被杀掉了么…
仿犹大: 哦？看来，又有新鲜直达的血包了。
舰长: 出现了！老师的同类！
仿犹大: 你…看上去口味不错，血的味道…应该是清甜原味吧？
舰长: 血？清甜？原味？
仿犹大: 没错，方才我正在痛饮鲜血。如你所见，这四散的血迹，正是狂欢的证明。
舰长: 原来那个“吨吨吨吨”的声音是…
舰长: 不是吧…接下来的剧情难道就是…
舰长: 你要吸我的血，然后和我签订契约？
舰长: 嗯，好吧。也不是不行，但是就给你吸一口吧…只有一口哦？说好了哦？
仿犹大: 此地不适合签订誓约，请跟我来。
舰长: 来真的？我只是开玩笑而已啊！老师，你救救我啊！
精卫之翼: 你跟她去吧。
舰长: 老师！
精卫之翼: 老师我自有安排，你就放心地去吧。
舰长: 别说得我像是已经死了啊…
精卫之翼: 胆小鬼，那你就和老师一起先消灭这些敌人，老师再陪你一起去。
