旁白: 跟随着希儿的日记，你仿佛和她一起进入了回忆。
希儿: （这就是…妈妈说的那个孩子吗。听说她想暗杀可可利亚妈妈，但是失败了。）
希儿: （她看上去好像也没有那么可怕，睡着的时候就像个瓷娃娃，只有额头边微微沁出的汗珠好像正提醒着我她是真实的。）
希儿: （帮她擦一下吧…）
希儿: 呀！
希儿: （手被抓住了。）
希儿: （我向前跌去，下意识地想把另一只手撑在床边。）
可可利亚: 不想吃苦头的话，就放开她。
希儿: （听到可可利亚妈妈的话，那个孩子停顿了一下，不是因为迟疑，而是思索，然后缓缓松开了我的手。）
希儿: （但她之前的动作之快，甚至让我没有时间去回避她的眼神，那个眼神…）
希儿: （让我一下子忘了手腕上被抓住的疼痛，躲到了妈妈身后。）
可可利亚: 小狙击手，你的名字叫什么？
布洛妮娅: 布洛妮娅。
希儿: （我很紧张，紧张地思考着以后怎么和她相处，我的手心在出汗，双脚在颤抖。一阵恍惚后，我听到妈妈还在和她说话。）
可可利亚: …我会成为你的母亲，布洛妮娅。
希儿: （这句话有些熟悉…她好像也对我说过。我们都是她的孩子。）
希儿: （然而…我预感到了什么，我紧紧抓着妈妈的裙子，想把自己藏在妈妈的斗篷里…但她把我推了出来。）
可可利亚: 布洛妮娅，把桌上的东西吃完。希儿，等下把布洛妮娅带到她住的地方。
希儿: （她默默地吃完了面包和汤，然后站起身往外走去，我急急忙忙跟上她的脚步。）
希儿: （这个样子…仿佛是她在带路一样。）
希儿: 布洛妮娅，这里是我…我们的房间。如果有事就叫我。
希儿: （布洛妮娅没有说话，她只是走到窗前往外看去，不知道她仅仅在发呆，还是真的在看着什么。）
希儿: （我不敢多问，只能等着她说话。）
布洛妮娅: 干面包。
希儿: 干面包？
布洛妮娅: 刚刚吃的干面包还有吗？如果有牛奶的话就更好了。
希儿: 对…对不起，你是没有吃饱吗？我现在就去拿。
希儿: （她微微转过了头，好像还要和我说什么，但我害怕和她对视，急急忙忙冲了出去。）
希儿: （然而，等我拿回干面包的时候，房间的窗大开着，布洛妮娅已经不见踪影。）
希儿: 布洛妮娅！布洛妮娅！
希儿: （就在我流下冷汗的同时，我听到窗外传来了淅淅索索的声音。我到窗边一看，布洛妮娅正抱着一只小黑猫。）
希儿: （难道她刚刚看着的就是这只小黑猫？）
希儿: （布洛妮娅抬起了头看向我，我来不及低头，被迫对上了她的视线。）
希儿: （令人意外的是，她好像笑了笑。）
布洛妮娅: 你看上去好像松了一口气。
布洛妮娅: 布洛妮娅不会逃走的，布洛妮娅没有理由逃走。而且…
布洛妮娅: 妈妈…妈妈…
希儿: （她好像在怀念着什么，但又什么都没再说下去。不知道是不是错觉，她的眼神好像变柔和了。）
希儿: （我把牛奶倒在碗里，递给了她，她把小黑猫放在地上，把牛奶直接递给了它。）
希儿: 那个…干面包，不可以给猫吃吧？
希儿: （布洛妮娅从我手里拿走了干面包，坐在了小黑猫旁边。）
布洛妮娅: 我吃。
希儿: （这就是，我和布洛妮娅…姐姐相遇的第一天。）
