旁白: 希克扎尔教国 议事堂
卫兵: 报——！舰长与伏特加女孩求见！
英雄王: 哦？居然回来了？快让他们进来！
舰长: 英雄王大人，我们如约带回了石中剑。
英雄王: 嗯…确实是货真价实的石中剑，诸位果然是被选中的勇者！
萝莎莉娅: 这么说，你愿意雇佣我们，和你一起去拜谒神祇了？
英雄王: 且慢，还有几件事我需要确认。
英雄王: 天使大人，这几人在试炼途中可有舞弊之事？
天使: 没有。
英雄王: 可有违背骑士宣言之事？
天使: 没有。
英雄王: 天使大人可曾对其施予援手？
天使: 没有。
英雄王: 嗯，很好。那么按照约定，我允许诸位加入我的队伍，作为先锋与我一同前往神祇所在的远古遗迹！
英雄王: 大军将于明日凌晨出征，在此之前各位可在教国境内随意行动。本王还有其他要事，暂不奉陪。
旁白: 英雄王与卫兵离开了，昏暗的议事堂中只剩下了我们四人——
天使: 英雄王已经走了吗？
萝莎莉娅: 走了走了！我亲眼看着她离开的！
天使: 呼…太好了，还以为会被她发现呢！
莉莉娅: 请放心，天使大人。我们和妈妈学的化妆技术绝对没有任何问题，保证不会被英雄王发现的。
舰长: 一般人化妆也不会化妆到翅膀这种东西吧…
旁白: 数小时前，诅咒森林，石中剑所在地附近
天使: 完蛋了，完蛋了！这下完蛋了！
天使: 要是被那个英雄王发现我变成了这个样子…俯卧撑肯定会再翻好几倍！不，我会直接被她赶出家门也说不定…
萝莎莉娅: 找到了找到了！莉莉娅，舰长，我找到天使大人了！
莉莉娅: 天使大人，你一个人躲在这边做什么？
天使: 不许过来！不要看我！
舰长: 天使大人，你…好像看起来和刚才有些不一样了？
天使: 没有！绝对没有！
萝莎莉娅: 莉莉娅，天使大人的翅膀是不是少了一半呀？
莉莉娅: 是的呢，萝莎莉娅。她的一半翅膀已经变成了光秃秃的尖刺了呢。
萝莎莉娅&莉莉娅: 看起来简直就像是…堕天使的样子呢。
天使: 不…不许乱说！这只是翅膀日常的脱毛而已！
莉莉娅: 萝莎莉娅，这个味道…
萝莎莉娅: 是说谎的味道！
天使: ……
天使: 我…我也不想的啊！
天使: 都是你们…
天使: 你们刚才拔出石中剑的时候惊动了上神大人，让她发现了我在凡间每天都过着三点睡十点起三餐外卖死不锻炼的懒散生活…
舰长: 原来是惰天使么？！
天使: 对了…如果让你们几个就在这里消失的话，就不会有人知道…
舰长: 不要继续堕落下去了啊，天使大人！肯定还有别的办法的！
莉莉娅: 没错，办法总是有的。萝莎莉娅，你有带着那个吗？
萝莎莉娅: 当然！锵锵锵——伏特加女孩的秘密之超级无敌便携式化妆盒！
舰长: 化妆盒？
萝莎莉娅: 舰长，天使大人，你们可要睁大眼睛哦！
莉莉娅: 要开始了哦，西伯利亚流化妆术~Show time！
旁白: 希克扎尔教国 议事堂
莉莉娅: 虽然暂时蒙混过关了，但是天使大人，这化妆术被看穿也只是时间问题而已。
萝莎莉娅: 毕竟只是临时用外卖的包装袋粘上去然后涂了个色而已嘛…
舰长: 天使大人，你再怠惰下去的话，说不定另外一边的翅膀也会变成光秃秃的尖刺的。
天使: 没关系！从明天开始我一定每天早睡早起，坚持锻炼，日行一善，改过自新！
？？？: 明日复明日，明日何其多。我生待明日，万事成蹉跎。天使大人，不如我们就从今天开始如何？
天使: 那怎么行！今晚十点可是有《帝国偶像传奇》的大结局……英…英雄王？！你什么时候回来的？！
英雄王: 我一直就在这里，从未离开。
英雄王: 倒是天使大人，你是何时产生了我曾经离开过这里的错觉呢？
天使: ……
天使: 那个…我忽然想起刚才外卖忘记给钱了！先走一步！
英雄王: 站住！今天的锻炼不做完你哪里都不准去！
天使: 谁要做那些讨厌的锻炼啊！要做的话也从明天开始好了！
莉莉娅: 啊，天使大人跑掉了呢。
萝莎莉娅: 不过肯定很快就会被英雄王抓住的吧？
舰长: 谁知道呢…不过就算被抓住了也不一定是坏事吧？
舰长: 该做的事都已经做完了…萝莎莉娅，莉莉娅，我们也回去休息一下吧。
舰长: 毕竟明天开始的话，可就是实打实的…战场了呢。
旁白: 与此同时 诅咒森林 石中剑所在地附近
北辰芽衣: 肚子好痛…有人在吗…救救我…
外卖员: 您好！犹大外卖为您服务！请问，您是要来点星空派吗？
