萝莎莉娅: 谢谢大家的热情！我们是「伏特加女孩」！
莉莉娅: 明天我们也会在这里举办演唱会！请大家一定要来看哦！
观众: 喔喔喔喔喔——
舰长: 好惊人的欢呼声！今天的观众比昨天还多一倍啊？总觉得连我都激动起来了！
舰长: 偶像……真不错啊……
舰长: 嗯？离场通道那里是……？
德丽莎: …………
舰长: 绝对没错，那是德丽莎！要追上去才行！
舰长: 喂——德丽莎！
德丽莎: ？！
舰长: 为什么掉头就跑了啊？
舰长: 德丽莎——！
德丽莎: 你你你！再过来我就要报警了！
舰长: 你不要跑啊！我不是什么可疑的人！
德丽莎: 可疑的人都是这么说的！
舰长: 我只是有事想跟你谈一谈！德丽莎……星穹少女TeRiRi！
德丽莎: ！
路人甲: 有谁在说星穹少女TeRiRi？
路人乙: 星穹少女TeRiRi？在哪儿？
舰长: 就在这儿啊，你们认不出来吗？果然你们都是靠衣服认……
德丽莎: 唔哇！闭嘴！跟我来！
德丽莎: ……你，是丽塔派来的吧？
舰长: 我确实从丽塔那里听说了你的事，但我来找你是出于我自己的意志。
德丽莎: 还是很可疑……竟然能看穿我的伪装，你不是一般人吧？
舰长: 这是有诀窍的
舰长: 确实我经常会分不清你们几个白毛，甚至有的时候只能用排除法，但是——
舰长: 这个身高的只有你！
德丽莎: 你是来激怒我的吗！
舰长: 总之先自我介绍一下吧。我是萝萨莉娅和莉莉娅的经纪人……
德丽莎: 你是经纪人？那个「伏特加女孩」的？！
舰长: 怎、怎么了？突然这么激动……
德丽莎: 诶~就是你啊~
舰长: ……你用那么热切的目光盯着我看，会被人误会的。
德丽莎: 才、才没有呢！区区「伏特加女孩」的经纪人！
舰长: 你自己念起来不觉得拗口吗！还是叫我舰长吧！……话说，你也是「伏特加女孩」的粉吧？每场演出都能看到你。
德丽莎: 诶、诶？怎、怎么会呢！我可是国民偶像星穹少女TeRiRi，怎么会对其他偶像感兴趣呢！
舰长: 可你不是说要辞掉偶像身份吗？
德丽莎: 诶？对哦，我已经不是偶像了……
舰长: （一目了然的失落！掩饰不住的悔意！果然！）
舰长: 德丽莎，你……
舰长: ——其实很想回到舞台上去的吧？
德丽莎: 哈？你、你在说什么傻话？！
德丽莎: 都、都说了我已经唱够了！当够偶像了！星穹少女TeRiRi毕业了！
舰长: 可是……
德丽莎: ……再说了，我和丽塔大吵了一架，她现在肯定很生气，怎么可能回去嘛！
舰长: 哦，原因是这个啊。
德丽莎: 才——不——是——！
舰长: 丽塔也正四处找你呢，回去好好道个歉不就行了？
德丽莎: 我可是圣贤王！说一不二的唯一君主！已经说出口的话绝——对不会收回！
舰长: 这种时候倒突然开始在意这层身份了？
德丽莎: 丽塔那个笨蛋，完全不懂我的心情！我才不要她当我的经纪人呢！我们的关系破裂了！
德丽莎: 偶像和经纪人之间最重要的就是信赖关系，舰长也是经纪人的话应该明白的吧？
舰长: 信赖关系啊……确实，萝莎莉娅那家伙一秒钟都不让人省心，莉莉娅看起来很乖巧实际上我行我素……
舰长: 但是看着她们在舞台上光芒闪耀的身姿，情不自禁就会想，一定要把她们带到更大更高的舞台上去——
德丽莎: 相互信赖着啊……难怪她们唱歌时看起来很幸福呢。（小声）要是舰长是我的经纪人就好了……
舰长: 什么？
德丽莎: 什、什么都没有！
德丽莎: 总之，我是不会回去的。失去了信赖关系的我……已经不能再次登上舞台了。
舰长: 你明明信赖着丽塔
舰长: 那种程度的小孩子脾气丽塔根本不会当真的，你以为她认识你多少年了？
德丽莎: 哈？你、你凭什么这么说啊！
舰长: 说到底，信赖关系什么的完全是小题大做，你根本只是抹不开面子——
德丽莎: 啊哇哇哇听不到听不到听不到！
德丽莎: 舰长你该回去了！明天就是月煌庆典了吧？好好检查LIVE的所有准备工序，不准给我的庆典抹黑！
舰长: 那你明天也会来看吗？
德丽莎: 谁会去啊！
舰长: （你啊。）
舰长: （比预想中的还要顽固啊……）
舰长: （唔，要怎么办呢……）
