瓦尔特: 经过了刚刚一轮的试演后，我们已经对参赛选手的水平有了基本的了解。
奥托: 第二轮试演，将以感情戏作为核心。请选手们努力表达出角色情感的丰富层次。
萝莎莉娅: 这次抽到的剧本是……第四章结局《深情的对峙》？
萝莎莉娅: “女主角为了营救女二号，与叛变的女三号进行了对峙……”
萝莎莉娅: “叛变的女三号回忆起女二号的温柔，毅然烧掉了大脑的芯片。”这都是什么东西啊？
布洛妮娅: 真是复杂的故事，而且里面似乎没有任何男性角色。
琪亚娜: 故事的作者一定是男的吧？只有男人的妄想世界里才会只存在美少女……
萝莎莉娅: 可恶，这次抽到了女三号。为什么！我明明那么适合演女主角。
布洛妮娅: 布洛妮娅抽到了女一号。
琪亚娜: 哎？本小姐要饰演被吊起来的女二号。等人来救的角色，一点也不适合我。
旁白: 就这样，新一轮的试演开始了。
布洛妮娅: ……把琪亚娜还给我。
布洛妮娅: 萝莎莉娅，不要再被她们控制了。
琪亚娜: 呜，吊着好不舒服呀！布洛妮娅快救我……
萝莎莉娅: （琪亚娜这个家伙……剧本上真的有这句台词吗？）
萝莎莉娅: 在我很小的时候，我就失去了父母！
萝莎莉娅: 是琪亚娜，让我再一次体会到了温暖。
萝莎莉娅: 我已经烧掉了生物芯片，再也不会接受别人的控制了！
布洛妮娅: ……什么，生物芯片是植入在你大脑里的，你不要命了吗？
萝莎莉娅: 布洛妮娅，琪亚娜就交给你了！你们一定要幸福啊！
布洛妮娅: …………
布洛妮娅: 等一等，剧本上写着，女三号是个没有感情的机器人。
布洛妮娅: 萝莎莉娅的表演实在太夸张了。
萝莎莉娅: 哪有！不这样的话，角色性格的层次感怎么能表现出来。
萝莎莉娅: 毕竟她冷漠的外表底下埋藏着一颗火热的心。
布洛妮娅: 笨蛋萝莎莉娅，就让布洛妮娅来教你真正的演技吧。
布洛妮娅: 看好了，说到“生物芯片已经烧掉了”的时候，要这样……
布洛妮娅: 呜呜……
萝莎莉娅: 哦哦，没想到布洛妮娅的演技竟然这么逼真！
布洛妮娅: …………
布洛妮娅: Valkry System！检测到生物芯片异常，强制操控紧急系统！重新启动！
奥托: 怎么回事？继芽衣选手之后，布洛妮娅选手也开始进入异常了。
奥托: 逆熵送来的选手竟然都是危险分子！
