报幕员: 接下来为各位带来的是，互动型短剧《睡美人》，表演者——伏特加女孩。
莉莉娅: 睡美人是一个国家的公主。在她出生的时候，国王高兴极了，决定举行一场盛大的宴会来庆祝。
萝莎莉娅: 国王邀请了很多人——贵族们，大臣们，还有森林里的妖精们，可他却唯独忘记了那住在森林深处的女巫。
莉莉娅: 女巫怀恨在心，她对公主降下了邪恶的诅咒——公主会在十五岁的生日时昏睡过去，直到勇者将她吻醒。
萝莎莉娅: 后来，诅咒应验了，但勇者却迟迟没有出现。十年，一百年，一千年过去了，直到现在，公主还依然在沉睡。
莉莉娅: 各位观众，你们会是吻醒公主的勇者吗？
观众: YES！
萝莎莉娅: 大点声，让公主听到你们的声音！
观众: YES——！！！
萝莎莉娅: 很好！让我看看…刚才喊的最大声的是…舰长，就决定是你了！来，去吻醒那位睡美人吧！
舰长: （我刚才明明都没出声…你们两个一开始就是奔着我来的吧？）
舰长: 吻醒睡美人
旁白: 你不想破坏萝莎莉娅好不容易炒热的气氛，硬着头皮上了台。
萝莎莉娅: 请看，各位观众！即将吻醒睡美人的勇者出现了！
莉莉娅: 去吧，舰长。睡美人在等着你呢。
舰长: 好好好我去就是了…等等，这哪有第四个人？睡美人在哪？
萝莎莉娅: 它就在那里呀，舰长。
旁白: 你顺着萝莎莉娅手指的方向看过去，却只看到一把插在舞台中间的粉白色的巨剑。
舰长: 原来是这个睡美人的吗？！
萝莎莉娅: 没错！我最爱用的武器——睡美人！怎么样，它是不是特别漂亮！
舰长: ……
旁白: 你这才意识到，原来这整场戏都是萝莎莉娅和莉莉娅为了戏弄你而设下的陷阱。
旁白: 万般无奈之下，你不得不轻轻吻了「睡美人」一下，然后在观众们的欢笑声中飞速跑下了舞台。
