报幕员: 接下来为各位带来的是，互动型短剧《卖樱桃的小女孩》，表演者——伏特加女孩。
莉莉娅: 咳咳…这是圣诞节前几天的故事，那时下了很大的雪，天气冷得可怕。
莉莉娅: 一个卖水果的小女孩在街上走着。她拎着满满一篮子的樱桃，还有蓝莓。
舰长: 说好的卖樱桃的小女孩呢？！
萝莎莉娅: 卖樱桃啦，新鲜的樱桃，有人想买樱桃吗？
莉莉娅: 可是几个小时过去了，她一颗樱桃也没有卖掉，谁也没有给她一分钱。再这样下去的话，圣诞节的餐桌上就没有她的位置了。
莉莉娅: 就在这时，她忽然注意到了人群中的某个人——
萝莎莉娅: 舰长，帮帮萝莎莉娅，来买点樱桃吧…
舰长: 什么都不买
旁白: 萝莎莉娅紧紧地盯着你，而你则死死地抓住了口袋里的钱包。
萝莎莉娅: 舰长，你真的不想买点樱桃吗？这都是我自己种的，特别甜呢。
旁白: 你坚信这是萝莎莉娅设下的陷阱，抓着钱包的手握得更紧了一些。
观众: 什么啊，能不能快一点啊？那人不买的话，我来买好了！
萝莎莉娅: 好的，这位热心观众，这是您的樱桃！那您的钱包就由我收下了哦~
观众: 喂，等等！把我的钱包还给我！
莉莉娅: 就这样，萝莎莉娅终于赚到了她的第一笔钱。今年，她大概能过上一个不错的圣诞节了吧？
