旁白: 同一时间 海渊城内部 上层区域
系统提示: 空间曲率复原，能级读数为0。海渊之眼已确认关闭。
可可利亚: 什么……布洛妮娅……
旁白: 可可利亚焦急地看着通讯频道的列表，布洛妮娅的名字黯淡失色。
灰蛇: 她跳进去了，真是个勇敢的女孩。
可可利亚: 灰蛇……为什么要擅自启动海渊之眼！
灰蛇: 开启海渊之眼，这不是我和你约定的交易吗？我只是选择了一个恰当的时机。
可可利亚: 你把布洛妮娅卷了进来！她和这件事情没有任何关系！
灰蛇: 是你把她卷了进来。
灰蛇: 是你那蹩脚的保密工作被爱因斯坦抓住了破绽，否则，进入量子之海的就不是她了。
可可利亚: 如果布洛妮娅不能平安无事地回来，我们的交易就到此为止。
灰蛇: 交易中途加条件，这有违商业精神吧？
灰蛇: 很不幸，她没有希儿·芙乐艾那样的资质，量子之海也不是什么想离开就能离开的地方。
灰蛇: 我只能帮你祈祷逆熵盟主愿意救她一命了。
可可利亚: 你以为我在开玩笑吗！？
旁白: 唰——
旁白: 可可利亚掏出腰间的手枪，抵在灰蛇冰冷的后脑勺上。
灰蛇: ……你这是要做什么？
可可利亚: 我最后再说一遍，我要看到布洛妮娅平安无事地回来。
灰蛇: 可可利亚，我们都清楚彼此的本质。我们这种人为了达成目的，可以牺牲一切，利用一切。
灰蛇: 所以，我才会为你最后的那番“临场表演”所折服。
灰蛇: 站在女儿的对立面，充分挑起她的叛逆，让她自愿代替爱因斯坦冲进量子之海。
灰蛇: 那一刻，我确信了你就是我们要找的人。
灰蛇: 你可别告诉我，是我错了。
可可利亚: …………
布洛妮娅: 你这个骗子。
布洛妮娅: 布洛妮娅…曾经是那么相信你…
可可利亚: …………
可可利亚: ……灰蛇，你错了。
可可利亚: 我们不一样……！
