旁白: 几小时后。天命运输舰Eos号的舰桥。
亚尔薇特: 副队长，我已经将神城医药提交的资料全部筛选完毕了。
丽塔: 你是第三分队的亚尔薇特？
亚尔薇特: 是！我是技术员亚尔薇特。早就听说副队长能记得总部每一个天命女武神的名字，果然没错！
亚尔薇特: 队伍里都说，能和副队长并肩战斗的机会可不多……
亚尔薇特: 因为您更多时候都是单枪匹马秘密行动。好多人可都期待着能和您一起出任务呢！
丽塔: 副队长什么的，就免了吧。请直接称呼我丽塔就可以了。
亚尔薇特: 丽塔…唔…小姐！哎，不行不行，总感觉这么亲昵的话，后脑勺会承受幽兰黛尔队长大人灼热的目光了！
丽塔: 呵呵，灼热的目光……我会把你的赞美如实转告她的。
亚尔薇特: 不、不麻烦您啦！
亚尔薇特: 说回正题！神城医药提交的档案中，包含了这五个月内城里所有和崩坏能泄漏事故相关的医疗记录，
亚尔薇特: 有将近四千多条，分别归档在三十五次灾害事件下。
丽塔: 相当惊人的数量。其中有没有和K-423相关的线索……？
亚尔薇特: 在两个月前的一条记录里，位于南部城区的某座立交桥上出现过大量崩坏兽。
亚尔薇特: 有受害者目击到一个少女在和崩坏兽战斗。虽然诊断的结论是“创伤后的应激障碍”…
亚尔薇特: 但我认为这并不是幻觉，一定是有人看到了她。
丽塔: 做的很好，亚尔薇特。
亚尔薇特: 哎嘿嘿，谢谢副队长的夸奖。在第三分队里，我可是有靠谱的“工具人”的美称呢！
丽塔: 那是美称吗？……有没有其他类似的线索呢？
亚尔薇特: 没有了。比对K-423的特征搜寻了医疗记录，一无所获。也就是说，她没有在医院之类的地方出现过。
亚尔薇特: 没有医疗记录，也没有购物记录，就连城市监控系统也无法拍到她。这个家伙难道会隐身吗！
丽塔: 她可以躲开监视器，也可以伪装成普通人。但只要她还行走在这座城市里，就不可能完全躲开所有人的目光。
丽塔: 总有人会记住她，甚至拍下她的样子。你筛选出的线索，已经证明了这一点。
亚尔薇特: 可是这么细小的情报，全都散布在网络的各个角落里，想要把它们打捞起来，我们可是得花上几个月的时间。
丽塔: 你知道吗，亚尔薇特……据说在这座城市里存在着一个情报黑市，事无巨细监听着网络中流动的每一条信息。
丽塔: 要找线索的话，我会去那里看看。
