旁白: 与此同时，远方某处。
渡鸦: 天命的人不请自来了，我们还是被怀疑上了。
胡狼: 真是令人失望啊……不过你本来不就打算干掉她们吗？
渡鸦: 没有必要的话，我并不想提早交手。
渡鸦: 本来想用那个律者女孩作为诱饵，让天命的人替我们消除这个隐患，顺便转移她们的注意力。现在看来，情况有变了。
渡鸦: 不过，我已经为这样的情况备下后手了。
渡鸦: 既然丽塔想要接近答案，那就干脆大大方方地把答案展示给她看。人在专注于答案的那一刻，就是她浑身破绽的时候。
胡狼: 动手时记得用上我为你准备的那份礼物。我很期待它的效果……
胡狼: 天命女武神挣扎惨叫的声音，承受痛苦的能力和普通人会有什么不同呢？
胡狼: 好想近距离观察一番啊……可以的话，留个活口给我研究。
渡鸦: 我一旦动手，实验就要立即进入倒计时状态。必须赶在天命大部队抵达之前，得到我们想要的数据。
胡狼: 放心吧，任务结束之后，你会拥有全新的身份，就此远走高飞。天命不会找到你了。
渡鸦: 那这座城市里的人……
胡狼: 不要对没有价值的事物滥施同情，你的同情心应该给予人类本身。
胡狼: 天命虽然拥有着强大的力量，但一直以来他们都在愚弄人类，谋求私利。让人们误以为依靠他们的保护，世界就很安全。
胡狼: 只要天命还在，人类就会像羊圈中软弱的羔羊，只懂得寻求庇护。
胡狼: 如今时代不同了，尊主已经归来。他会将天命对世界的钳制一扫而空。我们要做的，就是让世界在尊主的引领下蜕变新生。
胡狼: 因为只有在那样的世界里，你和你想要保护的人才会得到一席之地。
渡鸦: 那么，开始行动吧。
