AI: 舰长，刚刚所捕获的意识信号来源就是这里。
旁白: 白色的光与黑色的影在眼前交织着，然后化为了两个希儿。
旁白: 在她们的身后，还有一个模模糊糊的符华的影子。
符华: 请把你夺走的意识和记忆还给我。
希儿（？）: 亲爱的探长，我倒是很愿意将这些还给你。
希儿（？）: 但问题是…这些记忆里还剩下什么呢？
旁白: 那个模糊的影子变得清晰起来，在这个世界里呈现出一道幻象。
符华: 唔…
符华: 这是…我…吗…
希儿（？）: 没错，这就是你。
希儿（？）: 呵呵呵，看到了吗？我拿到的记忆本身就是不完整的，当然，这本就是我青睐你的缘故。
希儿（？）: 在这个“孤独”的心相世界里，当“自我”成为他者重现在面前时，你是不是会有一丝喜悦？
希儿（？）: 就好像，孤独的自己多了一个伙伴呢。
符华: 你的意思是…
希儿（？）: 我啊，听到了宿主的声音。
希儿（？）: 她说，从人降生的那时起，亲人、友人、同代人，形形色色的人逐渐围绕在身边。
希儿（？）: 但是，当他们先于自己离开这个世界时，自己又将重归孤独。
希儿（？）: 我想这一点，不会有人比你更有体会了。
希儿（？）: 我的宿主很孤独，而她觉得在忍受孤独这一点上，你做得比她好…
希儿（？）: 所以呢，我就想把你困在这里问问你，你有什么可以教她的。却没想到被你挣脱了。
符华: 原来这才是所有被困住的女武神的共同点。
符华: 她们具有…某项希儿认为自己所不具备的特质吗…
希儿（？）: 但是这样也好，不如由我收下你的另一半意识，然后你也留在这里，成为既是“自我”，又是“他者”的双重存在。
希儿（？）: 这样你也不会感受到孤独了吧？
符华: …这样做，对我、对希儿都没有任何意义。
希儿（？）: …
希儿（？）: 呼呼…看来是我被拒绝了呢…
希儿（？）: 那就让你和过去化为一体，然后被孤独吞噬吧！
