？？？: 嗷呜——
旁白: 显然，这并非人类所能发出的声音。
旁白: 德丽莎的脸部表情一下子变了，我下意识地抽出了手里剑。
旁白: 我试图通过定位气味的根源描绘野兽的体型，但结果却并不准确。
旁白: 不如说，会有体型和神社同样大小的野兽存在吗？
旁白: 更不用说，我目前没有看到任何东西。
霞: 德丽莎，躲到我身后。
德丽莎: 嘘，别出声。
霞: 嗯。
旁白: 我回过头，看到德丽莎对着远处比了一个手势。
旁白: 她不是和我说话…
旁白: 这更让我确定了，神社里藏着什么东西。
旁白: 我调转了手里剑的方向。
霞: 德丽莎，你说谎了么。难道妖兽没有被封印，而是藏在这座新建的八重神社里？
德丽莎: 如果是这样的话，早就被城主大人发现了。
德丽莎: 就像我们知道的那样，八重町曾经因为祸害人间的妖兽而被诅咒，甚至失去了神明的眷顾。
德丽莎: 但妖兽已经被巫女大人以生命为代价封印了。
德丽莎: 在这之后，八重町依靠人们的信仰和供奉，神明回归，勉强在这座神社中聚集了些微灵气，进而逐渐孕育而成了灵兽绯玉丸。
德丽莎: 虽然目前它并不具备肉身，力量也很弱，所以仍旧以灵体状态存在。
霞: 绯玉丸？
德丽莎: …随着灵气不断的聚集，绯玉丸的力量也在逐渐增强。在它获得了言语之力后，给自己取了这个名字。
德丽莎: 绯玉，红色的玉石——它说自己如果有实体，带给人的感觉一定是这样的。
旁白: 毫无疑问，灵兽绯玉丸与「畜生道」忍法贴的咒印有关。
旁白: 但是一只无害的普通灵兽身上会有忍法帖的咒印，说明它的实力并没有展现出来的那么弱。
旁白: 或许可以结合忍法帖的幻术，诱使绯玉丸出手。
旁白: 如果神社遭遇袭击，灵兽一定会显现它的力量。
