旁白: 半小时后，神城医药工业区。
丽塔: 看来，这里的警戒力量大大增加了。
亚尔薇特: 副队长，在幽兰黛尔大人答复前，您真的要继续行动吗？
亚尔薇特: 虽、虽然作为下属不该随意评论……
亚尔薇特: 丽塔小姐之前的行动已经失利了，在失去力量的状态下仍然要单人执行任务……这根本已经不是冒险了吧！
丽塔: 亚尔薇特，你说的没错。指挥失策，判断失当，导致队伍折损，身为领队的我应该担负全部责任。
丽塔: 但在这次行动结束之前，站在这里的我，依然还有责任要去挫败世界蛇的计划。
亚尔薇特: 挫败……他们的计划？
丽塔: 毫无疑问，幽兰黛尔大人只要赶来，我们确实能轻松获得胜利。
丽塔: 但如果她来不及赶到呢？或者，在她赶到这里时，世界蛇已经完成了计划呢？这座城市里会发生什么？
丽塔: 如果胜利指的是在成千上万的无辜者死后，在堆满他们尸体的城市里打败敌人……那这样的胜利，身为女武神的我并不需要。
丽塔: 所以，在幽兰黛尔大人回应以前，我必须做些什么。
丽塔: 这是我给自己下的命令，我一个人的任务。
亚尔薇特: 我……我好感动！我没有考虑这么多，请原谅我副队长！
亚尔薇特: 请务必小心。您现在的状态充其量也只比普通人强上一点。
丽塔: 亚尔薇特，女武神并不是只有依靠崩坏能才可以战斗。
丽塔: 过去所受的训练一直刻在我的身体里，我从来没有忘记。
