？？？: 哦？这是新收的弟子？要拿我当练手的试验品吗？
符华: 别开玩笑，姬子，我早就不收弟子了。
旁白: 装束华丽的女子击掌而笑，整齐盘起的发髻竟无一缕发丝落下，像是舍不得遮盖脖颈处那抹惊艳的白皙。
旁白: 她的红发本就引人注目，按照常人的思路或许打扮要收敛一些，她倒索性大大方方将这些都展现出来。
姬子: 怎么？我看这个小妹妹不像医师，一板一眼倒颇有习武之人的架势。
霞: 不，在下只是个粗人，让您见笑了。
符华: 霞，给我拿银针来，拿火过下。
旁白: 借报恩之名，我获得了给符华打下手的机会，协助她的治疗。
旁白: 我上手很快。对于人体的构造，忍者也同等了解。
旁白: 忍者要杀人，也要自救，大多数时候，杀人和救人也往往只是立场的区别。
姬子: 八重神社的小巫女今天不在吗？最近来的几次都没看到她。
符华: 她应该在神社内准备祭典仪式。
姬子: 虽然大家都有点怕她，但也只是因为她巫女的身份吧。我倒觉得她有种虚张声势的可爱。
姬子: 老实说，封印过妖兽的八重神社算不了什么稀奇的，我去别村送货时，总会看到各种各样的神社。
姬子: 比如在御发神社中，人们会向神祈求保佑头发浓密。
符华: 人一直都会有难以满足的愿望，所以这就是神社存在的理由。
霞: 听起来……客人似乎见得很多的样子。
旁白: 我撇了一眼桌子上摆得整整齐齐的一摞御守，都是符师父为客人求的。
旁白: 除了出现最多的“身体健康”和“安全出行”，也有“常胜不败”，“恋爱结缘”等等。
符华: 即使我能治疗好身体上的病痛，心理上的病痛还是要依靠神明。
符华: 姬子，这次身上没有什么新伤，你那么忙，其实不用特地来我这里跑一趟。
姬子: 没办法，我拼着命也要赶回来嘛。
姬子: 每次离开八重町那么久，最令我魂牵梦绕的还是符师父…的“寸劲之术”。
霞: 寸劲之术？
符华: 你这次的伤用不到寸劲之术，以银针点穴便能纾解。
旁白: 名为姬子的人刚向我瞥了一眼，刚开口便突然咧歪了嘴。
姬子: 那怎么行……哎……哎哎哎疼。
符华: 这都嫌疼，那你怎么还会挂念寸劲之术……好了，治疗结束了。
姬子: 不想知道我这次送的是什么货么？
符华: 治疗结束了，姬子。
姬子: 是机械傀偶的部件哦。
旁白: 听到机械傀偶这四个字，我偷偷抬眼看向姬子，她收起了之前一脸戏谑的笑，非常严肃地看向符华。
旁白: 然而符华却似乎对她的话置若罔闻。
符华: 我对你的交易不感兴趣，何况你随便透露货物的内容的行为也并不妥当。
符华: 不小心一点的话……甚至连性命都会丢掉的。
姬子: 这我当然知道，以前在黑市工作的可是我而不是你。
旁白: 姬子挑衅似地盯着符华，但符华却自顾自地收拾着银针。
旁白: 僵持良久，姬子拿起扇子晃了晃，仿佛刚刚两人的争锋相对即刻就能烟消云散。
姬子: 我知道我知道，难为你替我着想了。
符华: 对了，霞，等下我来给你做康复训练，检查下你的恢复情况。
姬子: 什么……居然是康复训练？！那就一定会用到寸劲之术了……
姬子: 竟然……竟然……
旁白: 不知为何我竟然感觉到了一丝杀气。
符华: 抱歉，霞。你先去院子里等我下，我把病人送走。
姬子: 明明认识已经十多年了，我现在也不过是你的病人之一。
姬子: 我自己走便是了。
霞: ………
旁白: 她头也不回地往外走去，符华也不挽留。
旁白: 虽然姬子提到机械傀偶这一点让我颇为在意，但是在这个气氛下喊住她也只会徒增怀疑。
符华: 罢了，不管她便是。
符华: 霞，你的伤口虽然恢复得很快，但是身体的机能却有可能下降，所以必须要将你的身体状态调整至受伤前。
旁白: 符华边说边换上了她的练功服，摆出了起手式。
霞: 符师父要用……姬子说的寸劲之术吗？
符华: 没错。所谓寸劲之术，就是我在对战过程中观察你的运气方向，对合适的穴位进行打击，提升你的身体状态。
符华: 所以你现在要做的是，使出全力来攻击我。
