姬子: 而我希望这个东西能让她醒悟过来，我希望实现她的愿望。
霞: 而雷电芽衣却想要超越她父亲的愿望。
霞: 造成雷电龙马入狱的那场实验事故，是因为有人将另一枚咒印也搭载在了这台机械傀偶上。
霞: 雷电芽衣，是你么？
芽衣: 没错。
芽衣: 「地狱道」的能力是“使役生魂”，而量产型的机械傀偶共享着了「地狱道」咒印的能力。
芽衣: 那些机械傀偶，本来都是濒死的人类，父亲一步一步小心翼翼地替换掉他们的身体组织，变成了机械元件。
芽衣: 然而父亲的小心没有得到回报，人类的灵魂都会在身体组织被替换到某个临界值的时候消失。
芽衣: 剩下的只有残存在「地狱道」中的本能驱动着机械躯壳。
芽衣: 如果只有一枚咒印还不够驱动，那就再加上一枚。
芽衣: 在极其偶然的情况下，我找到了「修罗道」的咒印。
芽衣: 「修罗道」的咒印会以人心中的执念为食粮将其转化为力量。
芽衣: 于是我将某个机械傀偶送往了符华的道场。
芽衣: 这台机械傀偶的身体中寄宿着的是生前惨败于符华手下的武道家。果不其然，在和符华每日的交手中它的执念日益增强。
芽衣: 这股执念甚至影响到里道馆中一众学徒的心性，而在符华将它丢弃后我偷偷完成了对它的回收。
芽衣: 后来的事情你们都知道了……当两印合一之际，机械傀偶暴走了。
芽衣: 但是，它终究安定了下来。
芽衣: 而这台机械傀偶将彻底超越父亲过去的作品，成为真正的修罗。
旁白: 一声巨响打断了雷电芽衣的话语，巨石滚下，眼前的地面发生了坍塌。
旁白: 一个巨大的身影从废墟堆中缓缓步出。
旁白: 那确实是一个机器傀偶，但已经不是我当时看到的那个机器傀偶。
旁白: 那是一个全新的模样，红色的躯干，修长的体魄。
机械傀偶: 这就是我的新身体吗？
机械傀偶: 我感受到了我完整的灵魂，那个之前的身躯已容不下的灵魂，只有在这个新生的躯体里，我才能感受到那颗一心向往武道的心。
芽衣: 机械傀偶，眼前的这两个人就是你获得新生后最初的猎物。
机械傀偶: 机械傀偶？不要把我和那些没有灵魂的东西混为一谈。
旁白: 机械傀偶猛地一挥手，猝不及防间雷电芽衣被它猛地击飞了出去。
机械傀偶: 没有人可以命令我，现在只有我可以命令自己。
机械傀偶: 叫符华来……我要问问她，为什么把道场关闭了。为什么抛弃了我的诞生之地，为什么毁掉了我的容身之处……
机械傀偶: 没有一个人是无辜的。
旁白: 机械傀偶转过身来，通红的眼睛盯着我和第六夜。
霞: 要把矛头指向我们两个吗……真是无聊的伎俩。
机械傀偶: 没有一个人是无辜的，我不会放过任何一个人。
机械傀偶: 处理完这些喽啰后，我会找到符华，检验她心中的武之道是否还在。
霞: 毋庸置疑的是，这具机械傀偶现在已经失去控制暴走了，化身为了只知杀戮的恶灵修罗……
旁白: 此时做出的任何决断，都容不得半分迟疑。
霞: 第六夜，你去找符华。现在唯一的突破口只有她。
第六夜: 不行，你一个人的话……
旁白: 第六夜难得犹豫了。
霞: 我们两个人留在这里的话，最后可能都会死。
霞: 你快去，我留在这里还能撑一会儿。
旁白: 这时，又有石块落下，第六夜趁此机会消失在了我的视线中。
旁白: 地下的场景随着视线的转换旋转而模糊，“娑婆世界”再次出现。
机械傀偶: 对了，在杀死你们之前，还是先给我自己取一个名字，好让世人知道你们是被谁杀死的。
机械傀偶: 听好了，我叫“火神”，焦热地狱的守门人。
