地藏御魂: 吼——
霞: 终于……终于干掉了么。
丽塔: 御灵刀刀灵赖以显形的崩坏能反应已经完全消失。
卡莲: 但是，源头还没有掐灭。
旁白: 这么说着，卡莲拖着在刚刚的战斗中负伤的左腿，一步一挪地向着被封印的巫女走去。
霞: 快、快拦住她！
丽塔: 卡莲大人！
卡莲: 饿鬼道！
旁白: 话音落下，整个城主府陡然震动起来。木屑簌簌而下，抬眼望去，眼前的景象不断扭曲变形。
霞: 可恶，还是迟了。
旁白: 我强撑起身体向卡莲的方向跑去，却腿脚一软直接跪倒在地。
霞: 该死，身体……使不上力气……
丽塔: 这种规模的空间扭曲……再这样下去城主府势必会彻底倒塌。
霞: 卡莲！
旁白: 我大声呼喊着她的名字，却看见一片扭曲地景色中她转过身将食指竖在嘴前做了一个噤声的动作。
卡莲: 在把你从实验舱带出来的那个夜晚，时隔百年我再次看到了御神木花开满树。
卡莲: 霞，并非代号，而是我给予你的最初的名字。
卡莲: 夜樱八重，花叶同生，如云似霞。
卡莲: 和御神木的花名相同。你的名字，叫做八重霞。
旁白: 言毕，她向丽塔微微点了点头。身后的女人心领神会般点头回应，然后架住我不由分说向建筑外行去。
旁白: 我任由丽塔架着我离开，没有挣扎没有叫喊，只是怔怔地看着卡莲越发虚幻的身影转过身去。
旁白: 她轻轻抱住曾经名为八重樱的少女，握住刀柄缓缓将这把维持着巫女最后一线生机的御灵刀缓缓抽离了这具身体。
旁白: 这是我最后目睹的光景。
侵蚀律者: 真是……感人肺腑的告别……
卡莲: 我早该这么做了。
侵蚀律者: 但是你依旧……没有办法……彻底消灭我……
卡莲: 所以我才利用禁术的暴走把你永远地流放另一个维度的世界。
侵蚀律者: 果然……人类的挣扎……永远都看不腻啊……
侵蚀律者: 那么……看在……你这么努力的份上……最后……再告诉你一件好事吧……
卡莲: 你想说什么？
侵蚀律者: 这具身体里……早就没有……叫做“八重樱”的灵魂了……
卡莲: ………
侵蚀律者: 你直到最后……都徒劳无功的……灵魂转移实验……早在很久以前……就已经实现了……
卡莲: 难道说……
侵蚀律者: 后续的容器……之所以全部失败……理由只有一个……
